column,kind,stump_cv_accuracy,stump_cv_std,rows_in_class_overlap,fraction_overlapping
IR_max,raw,1.0,0.0,0,0.0
IR_mean,raw,1.0,0.0,0,0.0
IR_min,raw,0.999023197566939,0.0011963352565425268,202,0.0986328125
visible_mean_distribution,raw,0.9887673683582803,0.0036587114974190047,1045,0.51025390625
visible_contrast,raw,0.8217675472598247,0.024078484466588057,1473,0.71923828125
entropy_x_contrast,engineered,0.8203053253026418,0.028685455955472675,1483,0.72412109375
visible_entropy,raw,0.7827145327687995,0.021286688347474218,1553,0.75830078125
IR_norm_range,engineered,0.7812630449042878,0.01620254486182569,1280,0.625
visible_second_angular_momentum,raw,0.7573200548631402,0.02733085036438419,1606,0.7841796875
log_asm,engineered,0.7573200548631402,0.02733085036438419,1606,0.7841796875
visible_max,raw,0.7363193988908104,0.02030278255229921,1695,0.82763671875
visible_min,raw,0.6972747331385294,0.011820997377020241,1869,0.91259765625
IR_range,engineered,0.6772210626751745,0.022014062432403458,2036,0.994140625
visible_mean,raw,0.589370862901783,0.01853717632318794,1966,0.9599609375
