segment,corner,number,apex_distance_m,x,y
0,T1,1,401.4,1860.0,2968.6
1,T2,2,470.3,1396.1,3456.0
2,T3,3,537.9,1020.1,4032.6
3,T4,4,685.9,261.0,2926.5
4,T5,5,969.7,-515.5,560.9
5,T6,6,1399.4,-4265.5,2481.2
6,T7,7,1764.1,-6536.0,5411.1
7,T8,8,1988.4,-8477.8,4554.9
8,T9,9,2182.0,-9306.8,6153.2
9,T10,10,2597.8,-12757.7,3870.2
10,T11,11,2753.6,-12351.5,2439.6
11,T12,12,2841.4,-12439.7,1652.9
12,T13,13,3008.2,-11856.1,118.1
13,T14,14,3572.8,-8203.9,3908.9
14,T15,15,3793.9,-7224.8,1945.3
15,T16,16,4286.5,-3044.5,-508.8
16,T17,17,4351.1,-3013.7,-1244.3
17,T18,18,4606.3,-772.5,-2572.1
18,T19,19,4739.8,252.6,-2147.6
