lap_id,driver,segment,corner,sector,start_m,end_m,seg_time_s,v_entry_kph,v_min_kph,v_exit_kph
0,ALB,0,T1,1,0.0,435.8,6.27,263.3,133.5,133.5
0,ALB,1,T2,1,435.8,504.1,1.6345,133.5,133.5,152.6
0,ALB,2,T3,1,504.1,611.9,3.6393,152.6,93.9,132.4
0,ALB,3,T4,1,611.9,827.8,3.8244,132.4,132.4,250.4
0,ALB,4,T5,1,827.8,1184.6,6.5246,250.4,151.8,261.2
0,ALB,5,T6,1,1184.6,1581.8,4.8674,261.2,261.2,312.0
0,ALB,6,T7,2,1581.8,1876.2,5.898,312.0,113.3,193.1
0,ALB,7,T8,2,1876.2,2085.2,6.0314,193.1,82.2,177.2
0,ALB,8,T9,2,2085.2,2389.9,6.38,177.2,124.8,241.8
0,ALB,9,T10,2,2389.9,2675.7,5.334,241.8,133.2,163.3
0,ALB,10,T11,2,2675.7,2797.5,3.356,163.3,108.6,139.4
0,ALB,11,T12,2,2797.5,2924.8,2.4451,139.4,139.4,217.7
0,ALB,12,T13,2,2924.8,3290.5,9.2038,217.7,60.2,258.6
0,ALB,13,T14,3,3290.5,3683.3,8.241,258.6,94.6,200.8
0,ALB,14,T15,3,3683.3,4040.2,5.065,200.8,200.8,283.3
0,ALB,15,T16,3,4040.2,4318.8,5.0708,283.3,110.8,122.4
0,ALB,16,T17,3,4318.8,4478.7,3.4587,122.4,122.4,213.0
0,ALB,17,T18,3,4478.7,4673.0,3.0843,213.0,201.4,201.4
0,ALB,18,T19,3,4673.0,4887.3,3.2988,201.4,201.4,261.1
1,ALB,0,T1,1,0.0,435.8,6.3874,263.6,139.2,139.2
1,ALB,1,T2,1,435.8,504.1,1.6121,139.2,139.2,142.2
1,ALB,2,T3,1,504.1,611.9,3.6966,142.2,89.5,132.0
1,ALB,3,T4,1,611.9,827.8,3.7219,132.0,132.0,251.7
1,ALB,4,T5,1,827.8,1184.6,6.4294,251.7,154.8,260.2
1,ALB,5,T6,1,1184.6,1581.8,4.8321,260.2,260.2,313.2
1,ALB,6,T7,2,1581.8,1876.2,5.9018,313.2,115.8,192.6
1,ALB,7,T8,2,1876.2,2085.2,6.0523,192.6,83.1,178.6
1,ALB,8,T9,2,2085.2,2389.9,6.3226,178.6,125.7,242.2
1,ALB,9,T10,2,2389.9,2675.7,5.2056,242.2,135.3,162.6
1,ALB,10,T11,2,2675.7,2797.5,3.313,162.6,110.6,147.6
1,ALB,11,T12,2,2797.5,2924.8,2.4368,147.6,147.6,214.7
1,ALB,12,T13,2,2924.8,3290.5,8.8587,214.7,70.9,260.7
1,ALB,13,T14,3,3290.5,3683.3,8.079,260.7,90.8,200.4
1,ALB,14,T15,3,3683.3,4040.2,5.0216,200.4,200.4,283.6
1,ALB,15,T16,3,4040.2,4318.8,4.9393,283.6,111.0,119.7
1,ALB,16,T17,3,4318.8,4478.7,3.5252,119.7,119.7,212.7
1,ALB,17,T18,3,4478.7,4673.0,3.0837,212.7,204.0,204.0
1,ALB,18,T19,3,4673.0,4887.3,3.2487,204.0,204.0,262.8
2,ALB,0,T1,1,0.0,435.8,6.3681,262.5,131.9,131.9
2,ALB,1,T2,1,435.8,504.1,1.6699,131.9,131.9,145.3
2,ALB,2,T3,1,504.1,611.9,3.7353,145.3,89.7,129.1
2,ALB,3,T4,1,611.9,827.8,3.7754,129.1,129.1,251.7
2,ALB,4,T5,1,827.8,1184.6,6.5758,251.7,148.0,236.0
2,ALB,5,T6,1,1184.6,1581.8,4.8606,236.0,236.0,310.5
2,ALB,6,T7,2,1581.8,1876.2,5.9438,310.5,113.5,187.6
2,ALB,7,T8,2,1876.2,2085.2,6.0833,187.6,81.8,176.2
2,ALB,8,T9,2,2085.2,2389.9,6.4899,176.2,115.1,243.4
2,ALB,9,T10,2,2389.9,2675.7,5.4065,243.4,137.5,160.2
2,ALB,10,T11,2,2675.7,2797.5,3.4447,160.2,106.0,146.8
2,ALB,11,T12,2,2797.5,2924.8,2.4539,146.8,146.8,202.0
2,ALB,12,T13,2,2924.8,3290.5,8.8503,202.0,69.6,261.0
2,ALB,13,T14,3,3290.5,3683.3,8.1463,261.0,90.7,202.3
2,ALB,14,T15,3,3683.3,4040.2,5.0137,202.3,202.3,281.7
2,ALB,15,T16,3,4040.2,4318.8,5.0727,281.7,111.0,119.3
2,ALB,16,T17,3,4318.8,4478.7,3.5243,119.3,119.3,216.3
2,ALB,17,T18,3,4478.7,4673.0,3.0754,216.3,203.9,204.0
2,ALB,18,T19,3,4673.0,4887.3,3.2291,204.0,204.0,264.8
3,ALB,0,T1,1,0.0,435.8,6.2637,263.9,132.2,132.2
3,ALB,1,T2,1,435.8,504.1,1.6082,132.2,132.2,153.9
3,ALB,2,T3,1,504.1,611.9,3.6686,153.9,92.0,127.7
3,ALB,3,T4,1,611.9,827.8,3.8019,127.7,127.7,251.4
3,ALB,4,T5,1,827.8,1184.6,6.5197,251.4,154.8,260.4
3,ALB,5,T6,1,1184.6,1581.8,4.828,260.4,260.4,312.7
3,ALB,6,T7,2,1581.8,1876.2,5.7339,312.7,117.8,194.2
3,ALB,7,T8,2,1876.2,2085.2,6.2992,194.2,74.4,182.9
3,ALB,8,T9,2,2085.2,2389.9,6.3252,182.9,122.1,245.6
3,ALB,9,T10,2,2389.9,2675.7,5.2091,245.6,143.7,165.3
3,ALB,10,T11,2,2675.7,2797.5,3.3195,165.3,109.0,147.7
3,ALB,11,T12,2,2797.5,2924.8,2.4293,147.7,147.7,218.4
3,ALB,12,T13,2,2924.8,3290.5,8.8248,218.4,66.1,260.6
3,ALB,13,T14,3,3290.5,3683.3,8.147,260.6,89.1,202.5
3,ALB,14,T15,3,3683.3,4040.2,5.0129,202.5,202.5,280.2
3,ALB,15,T16,3,4040.2,4318.8,5.0421,280.2,109.4,116.3
3,ALB,16,T17,3,4318.8,4478.7,3.6546,116.3,116.3,204.1
3,ALB,17,T18,3,4478.7,4673.0,3.1083,204.1,204.1,207.1
3,ALB,18,T19,3,4673.0,4887.3,3.351,207.1,207.1,254.6
4,ALO,0,T1,1,0.0,435.8,6.447,261.8,131.0,131.5
4,ALO,1,T2,1,435.8,504.1,1.5732,131.5,131.5,156.1
4,ALO,2,T3,1,504.1,611.9,3.5614,156.1,91.8,136.1
4,ALO,3,T4,1,611.9,827.8,3.725,136.1,136.1,249.3
4,ALO,4,T5,1,827.8,1184.6,6.3796,249.3,152.5,250.7
4,ALO,5,T6,1,1184.6,1581.8,4.8955,250.7,250.7,308.1
4,ALO,6,T7,2,1581.8,1876.2,5.8997,308.1,115.2,193.2
4,ALO,7,T8,2,1876.2,2085.2,6.0899,193.2,80.8,178.1
4,ALO,8,T9,2,2085.2,2389.9,6.2815,178.1,124.9,242.9
4,ALO,9,T10,2,2389.9,2675.7,5.2324,242.9,137.8,162.0
4,ALO,10,T11,2,2675.7,2797.5,3.3133,162.0,111.1,149.4
