driver,team,Q1,Q2,Q3,improvement_s,field_median_s,vs_field_s
SAI,Ferrari,92.339,91.439,90.984,0.9,0.315,0.585
ALO,Aston Martin,92.584,91.835,91.615,0.749,0.315,0.434
HAM,Mercedes,92.651,92.019,91.485,0.632,0.315,0.317
RUS,Mercedes,92.331,91.743,91.056,0.588,0.315,0.273
NOR,McLaren,92.483,91.951,91.27,0.532,0.315,0.217
LEC,Ferrari,92.406,92.012,91.063,0.394,0.315,0.079
MAG,Haas F1 Team,92.242,91.892,91.575,0.35,0.315,0.035
OCO,Alpine,92.369,92.089,91.673,0.28,0.315,-0.035
VER,Red Bull Racing,92.398,92.173,,0.225,0.315,-0.09
GAS,Alpine,92.452,92.274,,0.178,0.315,-0.137
HUL,Haas F1 Team,92.1,91.994,91.808,0.106,0.315,-0.209
LAW,AlphaTauri,92.215,92.166,92.268,0.049,0.315,-0.266
PER,Red Bull Racing,92.099,92.31,,-0.211,0.315,-0.526
ALB,Williams,92.668,93.147,,-0.479,0.315,-0.794
