distance_m,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0.3348,0.3319,0.3332,0.3317,0.3359,0.3373,0.3349,0.3309,0.3367,0.3425,0.335,0.3353,0.3388,0.3353,0.3347,0.3368,0.3335,0.3308,0.3316,0.3353,0.3356,0.3318,0.3325,0.3306,0.3348,0.331,0.3385,0.342,0.3354,0.3386,0.3372,0.3359,0.3361,0.3336,0.332,0.3339,0.3306,0.3338,0.3358,0.3307,0.3347,0.3313,0.3327,0.3327,0.3307,0.3293,0.335,0.3305,0.346,0.3336,0.3294,0.3321,0.3371,0.3337,0.3335,0.3323,0.3316,0.3345,0.3357,0.3336,0.3361,0.3358,0.3352,0.3341,0.3346,0.3386,0.3343,0.3297,0.3304,0.3365,0.3292,0.3289,0.3274,0.3268,0.334,0.3319,0.3332,0.3361,0.334,0.336,0.3407,0.3305,0.3303,0.3318,0.3306,0.337,0.3385,0.3336
50.0,0.661,0.6582,0.6582,0.6575,0.6642,0.6667,0.663,0.6563,0.6654,0.6775,0.6636,0.6644,0.6709,0.6652,0.6632,0.668,0.6628,0.6591,0.6579,0.6621,0.6656,0.6583,0.6544,0.6535,0.6631,0.6575,0.671,0.6784,0.6643,0.6694,0.6671,0.6647,0.6625,0.6594,0.659,0.6623,0.6563,0.6588,0.6607,0.6576,0.6611,0.659,0.656,0.6598,0.657,0.6516,0.6624,0.6558,0.6836,0.6597,0.6532,0.6571,0.6695,0.6609,0.6615,0.6569,0.6536,0.6637,0.6655,0.6628,0.6634,0.6642,0.6601,0.665,0.6633,0.6685,0.6597,0.6563,0.6568,0.6654,0.6551,0.652,0.6515,0.649,0.6626,0.6567,0.6612,0.6654,0.6644,0.6675,0.6719,0.6562,0.6552,0.657,0.6559,0.67,0.6711,0.6611
75.0,0.9817,0.9784,0.9782,0.9795,0.9885,0.9914,0.9856,0.9775,0.9901,1.0071,0.9879,0.9883,0.9951,0.9899,0.9867,0.9913,0.9856,0.979,0.9782,0.984,0.9888,0.9777,0.9724,0.9733,0.9853,0.9772,0.9952,1.0059,0.9894,0.9934,0.992,0.9888,0.9786,0.9805,0.9801,0.9852,0.9755,0.9771,0.9773,0.9761,0.9819,0.9786,0.9755,0.9795,0.9768,0.9684,0.9832,0.9748,1.0149,0.9786,0.9706,0.9762,0.9938,0.983,0.9838,0.9769,0.9642,0.9855,0.989,0.9866,0.9857,0.9886,0.9809,0.9897,0.985,0.9914,0.9828,0.9751,0.9776,0.9887,0.9741,0.9693,0.9707,0.9662,0.9835,0.9766,0.984,0.9913,0.9864,0.9972,0.9975,0.9799,0.9758,0.9775,0.9758,0.9975,0.9986,0.9841
100.0,1.2971,1.2938,1.2917,1.2938,1.306,1.3115,1.3008,1.2933,1.309,1.3311,1.3054,1.3073,1.3101,1.3086,1.3048,1.3091,1.3039,1.2942,1.2918,1.2999,1.3066,1.2934,1.2862,1.2885,1.302,1.2918,1.3151,1.326,1.3106,1.3135,1.3121,1.3085,1.2928,1.298,1.2951,1.3025,1.2903,1.2915,1.2906,1.2939,1.2999,1.2925,1.2893,1.2946,1.2911,1.2822,1.2988,1.2895,1.3415,1.295,1.285,1.2896,1.3144,1.3,1.3021,1.2932,1.274,1.3028,1.3072,1.304,1.3034,1.3067,1.296,1.3086,1.3014,1.3087,1.3011,1.2908,1.293,1.3098,1.2888,1.282,1.2843,1.2772,1.2998,1.291,1.2994,1.3092,1.3045,1.3167,1.3177,1.2964,1.2914,1.2929,1.2891,1.318,1.3219,1.304
125.0,1.6089,1.6052,1.6001,1.6041,1.6184,1.6278,1.6133,1.6038,1.6235,1.6499,1.6191,1.6221,1.6205,1.6212,1.619,1.6243,1.6171,1.6061,1.6022,1.6117,1.6215,1.606,1.5985,1.5998,1.6139,1.6027,1.6314,1.6416,1.6251,1.6299,1.6282,1.6232,1.6071,1.6119,1.6068,1.6161,1.6005,1.6014,1.6001,1.6057,1.6115,1.6044,1.6002,1.606,1.6023,1.5931,1.61,1.6025,1.663,1.6068,1.5966,1.6005,1.6291,1.6134,1.6153,1.6042,1.5854,1.6171,1.6195,1.6178,1.616,1.6207,1.6067,1.6222,1.6161,1.6223,1.613,1.6002,1.6043,1.6252,1.5986,1.5915,1.5934,1.5828,1.6119,1.5999,1.6119,1.6239,1.6182,1.6293,1.6347,1.6087,1.6006,1.6037,1.5998,1.6336,1.6397,1.6182
150.0,1.9158,1.9124,1.906,1.9108,1.9278,1.9405,1.9225,1.9103,1.9333,1.9662,1.9302,1.9329,1.93,1.9311,1.929,1.9339,1.9266,1.9145,1.9107,1.919,1.9303,1.9143,1.9079,1.908,1.9226,1.9098,1.9438,1.9536,1.9354,1.9413,1.9397,1.934,1.9179,1.9193,1.9146,1.928,1.9065,1.9065,1.9049,1.915,1.9197,1.9131,1.9074,1.9144,1.9099,1.8992,1.9178,1.9102,1.9795,1.914,1.9047,1.9069,1.9412,1.9221,1.924,1.9123,1.8948,1.926,1.9279,1.927,1.9245,1.9316,1.9143,1.9329,1.9257,1.9334,1.9224,1.9074,1.912,1.9348,1.9051,1.8965,1.8992,1.8848,1.9199,1.9049,1.92,1.934,1.9275,1.9396,1.9477,1.9164,1.9062,1.9111,1.9063,1.9457,1.9519,1.9295
175.0,2.2196,2.2151,2.2076,2.2119,2.2342,2.2465,2.2271,2.2127,2.2399,2.2778,2.2381,2.2405,2.2372,2.2369,2.2353,2.2388,2.2329,2.219,2.2171,2.2232,2.236,2.2187,2.2102,2.2131,2.2264,2.2141,2.2513,2.2611,2.2433,2.25,2.2481,2.2426,2.2264,2.2236,2.2183,2.2343,2.2096,2.2099,2.2073,2.2203,2.2243,2.2173,2.2113,2.2187,2.2134,2.202,2.221,2.2148,2.2902,2.2177,2.2084,2.2101,2.2496,2.228,2.231,2.2172,2.2008,2.233,2.2341,2.2328,2.23,2.239,2.2176,2.2403,2.2307,2.2403,2.227,2.2128,2.2166,2.2398,2.2087,2.1986,2.201,2.1851,2.2255,2.206,2.2218,2.24,2.2298,2.2503,2.2575,2.2217,2.21,2.2153,2.2095,2.2531,2.2609,2.2369
200.0,2.5199,2.5159,2.5067,2.5124,2.5372,2.5495,2.5291,2.5123,2.5446,2.5869,2.5439,2.545,2.543,2.5406,2.5394,2.5412,2.5367,2.5217,2.5192,2.5245,2.5387,2.5203,2.5101,2.5136,2.5286,2.5155,2.5544,2.5662,2.5485,2.5572,2.5532,2.5492,2.5314,2.5242,2.5181,2.5374,2.5104,2.5106,2.5065,2.5239,2.5266,2.5184,2.5113,2.5201,2.5144,2.5025,2.5225,2.5163,2.5973,2.5193,2.5096,2.5116,2.5554,2.5303,2.5362,2.5191,2.5033,2.5365,2.5374,2.5354,2.5329,2.5415,2.5193,2.5446,2.534,2.5448,2.5301,2.5154,2.5205,2.5418,2.5089,2.4981,2.4992,2.4835,2.5273,2.5059,2.5197,2.5426,2.5278,2.5591,2.5653,2.5246,2.5129,2.5182,2.5111,2.5584,2.5662,2.5411
225.0,2.8182,2.8146,2.8043,2.8093,2.8389,2.8514,2.829,2.8108,2.8471,2.892,2.8472,2.847,2.846,2.8425,2.8407,2.8417,2.8391,2.8214,2.819,2.8239,2.8377,2.8186,2.8086,2.8125,2.829,2.8138,2.8567,2.869,2.8501,2.8626,2.8563,2.8526,2.8343,2.8213,2.8156,2.8379,2.8081,2.8078,2.8014,2.8243,2.8263,2.817,2.8091,2.819,2.8127,2.8006,2.8215,2.815,2.9006,2.8172,2.808,2.8096,2.8585,2.8308,2.8378,2.8193,2.8047,2.8373,2.8377,2.8354,2.8328,2.8432,2.8185,2.8462,2.8341,2.8473,2.831,2.8161,2.8199,2.8407,2.807,2.7951,2.7955,2.7797,2.8274,2.8027,2.8182,2.8433,2.824,2.8639,2.871,2.8252,2.8129,2.8186,2.8104,2.8606,2.8705,2.8436
