lap_id,driver,team,q_segment,lap_number,lap_time_s,telemetry_lap_time_s,clock_min,compound,tyre_life_laps,distance_travelled_m,is_driver_best
0,ALB,Williams,Q1,2,93.627,93.627,23.24,SOFT,2.0,4898.0,False
1,ALB,Williams,Q1,5,92.668,92.668,31.28,SOFT,2.0,4893.0,True
2,ALB,Williams,Q2,8,93.719,93.719,71.77,SOFT,5.0,4873.0,False
3,ALB,Williams,Q2,11,93.147,93.147,82.54,SOFT,2.0,4868.0,False
4,ALO,Aston Martin,Q1,3,92.584,92.584,24.18,SOFT,3.0,4869.0,False
5,ALO,Aston Martin,Q2,8,91.835,91.835,71.01,SOFT,2.0,4878.0,False
6,ALO,Aston Martin,Q3,13,92.168,92.168,93.52,SOFT,4.0,4881.0,False
7,ALO,Aston Martin,Q3,16,91.615,91.615,101.46,SOFT,2.0,4883.0,True
8,BOT,Alfa Romeo,Q1,2,93.79,93.79,17.41,SOFT,2.0,4874.0,False
9,BOT,Alfa Romeo,Q1,5,93.653,93.653,23.75,SOFT,5.0,4905.0,False
10,BOT,Alfa Romeo,Q1,8,92.809,92.809,31.18,SOFT,2.0,4877.0,True
11,GAS,Alpine,Q1,2,92.654,92.654,23.98,SOFT,2.0,4889.0,False
12,GAS,Alpine,Q1,5,92.452,92.452,32.51,SOFT,2.0,4886.0,False
13,GAS,Alpine,Q2,8,92.279,92.279,71.9,SOFT,2.0,4884.0,False
14,GAS,Alpine,Q2,11,92.274,92.274,81.5,SOFT,2.0,4901.0,True
15,HAM,Mercedes,Q1,2,92.651,92.651,20.78,SOFT,2.0,4887.0,False
16,HAM,Mercedes,Q2,7,92.019,92.019,74.39,SOFT,2.0,4894.0,False
17,HAM,Mercedes,Q3,12,91.91,91.91,94.57,SOFT,4.0,4892.0,False
18,HAM,Mercedes,Q3,15,91.485,91.485,102.55,SOFT,2.0,4895.0,True
19,HUL,Haas F1 Team,Q1,2,93.708,93.708,17.22,SOFT,2.0,4892.0,False
20,HUL,Haas F1 Team,Q1,5,93.16,93.16,23.5,SOFT,5.0,4892.0,False
21,HUL,Haas F1 Team,Q1,8,92.1,92.1,31.95,SOFT,2.0,4895.0,False
22,HUL,Haas F1 Team,Q2,11,92.348,92.348,70.5,SOFT,2.0,4880.0,False
23,HUL,Haas F1 Team,Q2,14,91.994,91.994,81.23,SOFT,2.0,4896.0,False
24,HUL,Haas F1 Team,Q3,17,92.537,92.537,93.33,SOFT,5.0,4889.0,False
25,HUL,Haas F1 Team,Q3,20,91.808,91.808,101.29,SOFT,2.0,4894.0,True
26,LAW,AlphaTauri,Q1,2,93.601,93.601,17.32,SOFT,2.0,4894.0,False
27,LAW,AlphaTauri,Q1,5,92.724,92.724,24.51,SOFT,2.0,4880.0,False
28,LAW,AlphaTauri,Q1,8,92.215,92.215,32.32,SOFT,2.0,4890.0,False
29,LAW,AlphaTauri,Q2,11,92.507,92.507,71.46,SOFT,5.0,4895.0,False
30,LAW,AlphaTauri,Q2,14,92.166,92.166,81.74,SOFT,2.0,4874.0,True
31,LAW,AlphaTauri,Q3,17,92.811,92.811,94.08,SOFT,5.0,4891.0,False
32,LAW,AlphaTauri,Q3,20,92.268,92.268,102.05,SOFT,2.0,4881.0,False
33,LEC,Ferrari,Q1,2,92.523,92.523,18.38,SOFT,2.0,4880.0,False
34,LEC,Ferrari,Q1,5,92.406,92.406,25.0,SOFT,5.0,4890.0,False
35,LEC,Ferrari,Q2,11,92.15,92.15,70.88,SOFT,5.0,4902.0,False
36,LEC,Ferrari,Q2,14,92.012,92.012,82.25,SOFT,2.0,4865.0,False
37,LEC,Ferrari,Q3,17,91.421,91.421,93.96,SOFT,2.0,4888.0,False
38,LEC,Ferrari,Q3,20,91.063,91.063,101.94,SOFT,2.0,4886.0,True
39,MAG,Haas F1 Team,Q1,2,93.2,93.2,17.11,SOFT,2.0,4899.0,False
40,MAG,Haas F1 Team,Q1,5,93.038,93.038,23.66,SOFT,5.0,4902.0,False
41,MAG,Haas F1 Team,Q1,8,92.242,92.242,31.82,SOFT,2.0,4900.0,False
42,MAG,Haas F1 Team,Q2,11,92.17,92.17,70.26,SOFT,2.0,4891.0,False
43,MAG,Haas F1 Team,Q2,14,91.892,91.892,80.96,SOFT,2.0,4904.0,False
44,MAG,Haas F1 Team,Q3,17,92.396,92.396,93.15,SOFT,5.0,4882.0,False
45,MAG,Haas F1 Team,Q3,20,91.575,91.575,101.11,SOFT,2.0,4885.0,True
46,NOR,McLaren,Q1,2,92.556,92.556,17.65,SOFT,2.0,4865.0,False
47,NOR,McLaren,Q1,5,92.483,92.483,24.27,SOFT,5.0,4884.0,False
48,NOR,McLaren,Q1,8,93.291,93.291,32.6,SOFT,2.0,4883.0,False
49,NOR,McLaren,Q2,11,91.951,91.951,70.59,SOFT,2.0,4884.0,False
50,NOR,McLaren,Q3,16,91.539,91.539,93.64,SOFT,4.0,4895.0,False
51,NOR,McLaren,Q3,19,91.27,91.27,101.8,SOFT,2.0,4884.0,True
52,OCO,Alpine,Q1,2,92.911,92.911,23.01,SOFT,2.0,4880.0,False
53,OCO,Alpine,Q1,5,92.369,92.369,32.07,SOFT,2.0,4880.0,False
54,OCO,Alpine,Q2,8,92.278,92.278,71.59,SOFT,2.0,4884.0,False
55,OCO,Alpine,Q2,11,92.089,92.089,81.11,SOFT,2.0,4874.0,False
56,OCO,Alpine,Q3,14,92.564,92.564,94.22,SOFT,5.0,4894.0,False
57,OCO,Alpine,Q3,17,91.673,91.673,102.19,SOFT,2.0,4889.0,True
58,PER,Red Bull Racing,Q1,2,92.563,92.563,17.84,SOFT,2.0,4877.0,False
59,PER,Red Bull Racing,Q1,7,92.099,92.099,32.22,SOFT,2.0,4876.0,True
60,PER,Red Bull Racing,Q2,10,92.31,92.31,70.38,SOFT,2.0,4878.0,False
61,PIA,McLaren,Q1,2,92.902,92.902,18.5,SOFT,2.0,4886.0,True
62,PIA,McLaren,Q1,5,93.067,93.067,24.91,SOFT,5.0,4882.0,False
63,RUS,Mercedes,Q1,2,92.478,92.478,20.66,SOFT,2.0,4900.0,False
64,RUS,Mercedes,Q1,5,92.331,92.331,32.42,SOFT,5.0,4879.0,False
65,RUS,Mercedes,Q2,8,91.743,91.743,74.12,SOFT,2.0,4885.0,False
66,RUS,Mercedes,Q3,13,91.8,91.8,94.44,SOFT,4.0,4881.0,False
67,RUS,Mercedes,Q3,16,91.056,91.056,102.41,SOFT,2.0,4889.0,True
68,SAI,Ferrari,Q1,2,92.965,92.965,18.23,SOFT,2.0,4885.0,False
69,SAI,Ferrari,Q1,5,92.339,92.339,24.82,SOFT,5.0,4899.0,False
70,SAI,Ferrari,Q2,10,91.893,91.893,70.72,SOFT,4.0,4896.0,False
71,SAI,Ferrari,Q2,13,91.439,91.439,82.01,SOFT,2.0,4899.0,False
72,SAI,Ferrari,Q3,16,91.17,91.17,93.78,SOFT,2.0,4883.0,False
73,SAI,Ferrari,Q3,19,90.984,90.984,101.65,SOFT,2.0,4888.0,True
74,SAR,Williams,Q1,2,95.098,95.098,16.99,SOFT,2.0,4888.0,False
75,SAR,Williams,Q1,5,93.571,93.571,23.12,SOFT,2.0,4843.0,False
76,SAR,Williams,Q1,8,93.252,93.252,31.06,SOFT,2.0,4868.0,True
77,STR,Aston Martin,Q1,3,93.904,93.904,20.5,SOFT,3.0,4860.0,False
78,STR,Aston Martin,Q1,5,93.397,93.397,24.71,SOFT,5.0,4861.0,True
79,TSU,AlphaTauri,Q1,2,92.93,92.93,23.38,SOFT,2.0,4892.0,False
80,TSU,AlphaTauri,Q1,5,91.991,91.991,31.66,SOFT,2.0,4900.0,True
81,VER,Red Bull Racing,Q1,2,92.862,92.862,18.06,SOFT,2.0,4900.0,False
82,VER,Red Bull Racing,Q1,5,92.398,92.398,24.43,SOFT,5.0,4877.0,False
83,VER,Red Bull Racing,Q2,10,92.307,92.307,70.12,SOFT,2.0,4884.0,False
84,VER,Red Bull Racing,Q2,13,92.173,92.173,81.38,SOFT,2.0,4890.0,True
85,ZHO,Alfa Romeo,Q1,2,94.433,94.433,17.49,SOFT,2.0,4904.0,False
86,ZHO,Alfa Romeo,Q1,5,93.815,93.815,23.84,SOFT,5.0,4899.0,False
87,ZHO,Alfa Romeo,Q1,8,93.258,93.258,31.39,SOFT,2.0,4904.0,True
