feature,mae_increase_kph,sd
v_probe_25,41.47308787732514,0.4402264592736729
corner_radius_m,9.990403671026272,0.15090981631288122
v_probe_50,2.3546406710807952,0.04947514692499233
dist_from_prev_corner_m,2.0069257007842918,0.03331597067172612
v_max_entry,1.852482519622074,0.05292694303119371
rpm_at_entry_end,1.632868771495683,0.04182156526804427
corner_heading_change_deg,1.5246923914830712,0.05293027478731048
brake_onset_offset_m,1.3733574073323171,0.030163511957997297
throttle_mean_entry,0.827547213943399,0.0434107466773656
dist_to_next_corner_m,0.8174113028362854,0.03728804310775299
throttle_full_frac_entry,0.7679922427261054,0.02066548357729295
decel_entry_ms2,0.7518500046435111,0.023348295251453734
v_min_entry,0.631833524033727,0.023031272802616225
humidity_pct,0.39702407446695676,0.02523344927131979
track_temp_c,0.38046160837556614,0.026593458971430273
rpm_mean_entry,0.37981430363336416,0.007620701580499419
air_temp_c,0.34478471896558816,0.013870500479613175
v_drop_entry,0.2874561100057445,0.007672878297887393
gear_at_entry_end,0.2795649568764553,0.007319581014785528
v_probe_150,0.2169662344670435,0.024617857591925956
v_probe_100,0.21426006359488775,0.029337178907570535
gear_min_entry,0.1840810440985905,0.009932815850689194
tyre_life_laps,0.13163166992406908,0.008254586280430264
brake_frac_entry,0.11873596036177751,0.009076538052431199
q_segment,0.06418663019936552,0.0069011418253945404
v_mean_entry,0.046762280972100355,0.0033434453311548024
rainfall,0.0,0.0
corner_key,0.0,0.0
drs_frac_entry,0.0,0.0
compound,-0.0024373883021965525,0.0011796099736082941
wind_speed_ms,-0.018668588983444322,0.002854743252744164
v_probe_200,-0.049086841115979496,0.013446864516264631
track_length_m,-0.13926235169833454,0.01760477618506336
