event_round,event_name,driver,team,lap_time_s,session_best_s,gap_s
1,Bahrain Grand Prix,ALB,Williams,91.461,89.708,1.753
1,Bahrain Grand Prix,ALO,Aston Martin,90.336,89.708,0.628
1,Bahrain Grand Prix,BOT,Alfa Romeo,91.443,89.708,1.735
1,Bahrain Grand Prix,DEV,AlphaTauri,92.121,89.708,2.413
1,Bahrain Grand Prix,GAS,Alpine,91.818,89.708,2.11
1,Bahrain Grand Prix,HAM,Mercedes,90.384,89.708,0.676
1,Bahrain Grand Prix,HUL,Haas F1 Team,90.809,89.708,1.101
1,Bahrain Grand Prix,LEC,Ferrari,90.0,89.708,0.292
1,Bahrain Grand Prix,MAG,Haas F1 Team,91.892,89.708,2.184
1,Bahrain Grand Prix,NOR,McLaren,91.381,89.708,1.673
1,Bahrain Grand Prix,OCO,Alpine,90.914,89.708,1.206
1,Bahrain Grand Prix,PER,Red Bull Racing,89.846,89.708,0.138
1,Bahrain Grand Prix,PIA,McLaren,92.101,89.708,2.393
1,Bahrain Grand Prix,RUS,Mercedes,90.34,89.708,0.632
1,Bahrain Grand Prix,SAI,Ferrari,90.154,89.708,0.446
1,Bahrain Grand Prix,SAR,Williams,91.652,89.708,1.944
1,Bahrain Grand Prix,STR,Aston Martin,90.836,89.708,1.128
1,Bahrain Grand Prix,TSU,AlphaTauri,91.4,89.708,1.692
1,Bahrain Grand Prix,VER,Red Bull Racing,89.708,89.708,0.0
1,Bahrain Grand Prix,ZHO,Alfa Romeo,91.473,89.708,1.765
2,Saudi Arabian Grand Prix,ALB,Williams,89.994,88.265,1.729
2,Saudi Arabian Grand Prix,ALO,Aston Martin,88.73,88.265,0.465
2,Saudi Arabian Grand Prix,BOT,Alfa Romeo,89.668,88.265,1.403
2,Saudi Arabian Grand Prix,GAS,Alpine,89.357,88.265,1.092
2,Saudi Arabian Grand Prix,HAM,Mercedes,89.223,88.265,0.958
2,Saudi Arabian Grand Prix,HUL,Haas F1 Team,89.451,88.265,1.186
2,Saudi Arabian Grand Prix,LEC,Ferrari,88.42,88.265,0.155
2,Saudi Arabian Grand Prix,MAG,Haas F1 Team,89.517,88.265,1.252
2,Saudi Arabian Grand Prix,NOR,McLaren,90.447,88.265,2.182
2,Saudi Arabian Grand Prix,OCO,Alpine,89.078,88.265,0.813
2,Saudi Arabian Grand Prix,PER,Red Bull Racing,88.265,88.265,0.0
2,Saudi Arabian Grand Prix,PIA,McLaren,89.243,88.265,0.978
2,Saudi Arabian Grand Prix,RUS,Mercedes,88.857,88.265,0.592
2,Saudi Arabian Grand Prix,SAI,Ferrari,88.931,88.265,0.666
2,Saudi Arabian Grand Prix,SAR,Williams,89.721,88.265,1.456
2,Saudi Arabian Grand Prix,STR,Aston Martin,88.945,88.265,0.68
2,Saudi Arabian Grand Prix,TSU,AlphaTauri,89.939,88.265,1.674
2,Saudi Arabian Grand Prix,VER,Red Bull Racing,88.761,88.265,0.496
2,Saudi Arabian Grand Prix,ZHO,Alfa Romeo,89.461,88.265,1.196
3,Australian Grand Prix,ALB,Williams,77.609,76.732,0.877
3,Australian Grand Prix,ALO,Aston Martin,77.139,76.732,0.407
3,Australian Grand Prix,BOT,Alfa Romeo,78.714,76.732,1.982
3,Australian Grand Prix,DEV,AlphaTauri,78.335,76.732,1.603
3,Australian Grand Prix,GAS,Alpine,77.574,76.732,0.842
3,Australian Grand Prix,HAM,Mercedes,77.104,76.732,0.372
3,Australian Grand Prix,HUL,Haas F1 Team,77.412,76.732,0.68
3,Australian Grand Prix,LEC,Ferrari,77.369,76.732,0.637
3,Australian Grand Prix,MAG,Haas F1 Team,78.129,76.732,1.397
3,Australian Grand Prix,NOR,McLaren,78.119,76.732,1.387
