driver,team,q_segment,lap_number,lap_time_s
ALB,Williams,Q1,5,92.668
ALO,Aston Martin,Q1,3,92.584
BOT,Alfa Romeo,Q1,8,92.809
GAS,Alpine,Q1,5,92.452
HAM,Mercedes,Q1,2,92.651
HUL,Haas F1 Team,Q1,8,92.1
LAW,AlphaTauri,Q1,8,92.215
LEC,Ferrari,Q1,5,92.406
MAG,Haas F1 Team,Q1,8,92.242
NOR,McLaren,Q1,5,92.483
OCO,Alpine,Q1,5,92.369
PER,Red Bull Racing,Q1,7,92.099
PIA,McLaren,Q1,2,92.902
RUS,Mercedes,Q1,5,92.331
SAI,Ferrari,Q1,5,92.339
SAR,Williams,Q1,8,93.252
STR,Aston Martin,Q1,5,93.397
TSU,AlphaTauri,Q1,5,91.991
VER,Red Bull Racing,Q1,5,92.398
ZHO,Alfa Romeo,Q1,8,93.258
ALB,Williams,Q2,11,93.147
ALO,Aston Martin,Q2,8,91.835
GAS,Alpine,Q2,11,92.274
HAM,Mercedes,Q2,7,92.019
HUL,Haas F1 Team,Q2,14,91.994
LAW,AlphaTauri,Q2,14,92.166
LEC,Ferrari,Q2,14,92.012
MAG,Haas F1 Team,Q2,14,91.892
NOR,McLaren,Q2,11,91.951
OCO,Alpine,Q2,11,92.089
PER,Red Bull Racing,Q2,10,92.31
RUS,Mercedes,Q2,8,91.743
SAI,Ferrari,Q2,13,91.439
VER,Red Bull Racing,Q2,13,92.173
ALO,Aston Martin,Q3,16,91.615
HAM,Mercedes,Q3,15,91.485
HUL,Haas F1 Team,Q3,20,91.808
LAW,AlphaTauri,Q3,20,92.268
LEC,Ferrari,Q3,20,91.063
MAG,Haas F1 Team,Q3,20,91.575
NOR,McLaren,Q3,19,91.27
OCO,Alpine,Q3,17,91.673
RUS,Mercedes,Q3,16,91.056
SAI,Ferrari,Q3,19,90.984
