distance_m,x,y,segment
0.0,809.3,-779.4,0
25.0,862.3,-591.0,0
50.0,933.9,-341.7,0
75.0,1000.6,-113.1,0
100.0,1069.3,121.1,0
125.0,1140.8,356.9,0
150.0,1212.9,592.8,0
175.0,1286.4,829.1,0
200.0,1386.3,1143.1,0
225.0,1440.8,1312.3,0
250.0,1516.3,1542.6,0
275.0,1616.7,1842.2,0
300.0,1680.3,2033.0,0
325.0,1754.1,2255.8,0
350.0,1827.1,2500.2,0
375.0,1877.6,2746.0,0
400.0,1860.7,2979.1,0
425.0,1716.6,3184.8,0
435.8,1630.1,3250.9,1
450.0,1516.0,3335.1,1
475.0,1324.0,3570.7,1
500.0,1243.0,3748.2,1
504.1,1229.5,3778.4,2
525.0,1120.1,3967.0,2
550.0,894.2,4056.8,2
575.0,679.9,3952.8,2
600.0,524.5,3764.8,2
611.9,466.0,3672.2,3
625.0,390.7,3510.9,3
650.0,328.3,3331.0,3
675.0,277.8,3085.7,3
700.0,254.2,2853.8,3
725.0,242.3,2614.9,3
750.0,231.8,2333.3,3
775.0,219.3,2053.2,3
800.0,197.0,1829.6,3
825.0,165.0,1583.0,3
827.8,161.9,1566.0,4
850.0,129.0,1403.9,4
875.0,49.7,1140.5,4
900.0,-40.4,930.5,4
925.0,-180.9,713.8,4
950.0,-424.1,565.9,4
975.0,-630.3,562.3,4
1000.0,-866.2,606.9,4
1025.0,-1106.9,689.5,4
1050.0,-1282.4,766.4,4
1075.0,-1525.8,897.6,4
1100.0,-1683.2,989.0,4
1125.0,-1956.5,1148.6,4
1150.0,-2155.6,1262.8,4
1175.0,-2391.2,1398.3,4
1184.6,-2449.7,1431.9,5
1200.0,-2543.1,1485.6,5
1225.0,-2790.3,1622.8,5
1250.0,-3021.1,1753.2,5
1275.0,-3181.6,1844.4,5
1300.0,-3430.0,1984.8,5
1325.0,-3627.0,2097.5,5
1350.0,-3930.9,2271.5,5
1375.0,-4081.1,2362.0,5
1400.0,-4260.8,2478.3,5
1425.0,-4458.0,2624.9,5
1450.0,-4642.0,2788.9,5
1475.0,-4809.9,2971.0,5
1500.0,-4962.3,3168.4,5
1525.0,-5119.7,3394.5,5
1550.0,-5265.5,3609.7,5
1575.0,-5420.6,3843.3,5
1581.8,-5477.5,3929.2,6
1600.0,-5614.3,4135.8,6
1625.0,-5694.9,4260.6,6
1650.0,-5813.9,4451.7,6
1675.0,-5959.3,4687.4,6
1700.0,-6106.7,4933.7,6
1725.0,-6253.6,5154.2,6
1750.0,-6439.1,5343.6,6
1775.0,-6650.8,5461.0,6
1800.0,-6952.9,5427.7,6
1825.0,-7117.7,5349.8,6
1850.0,-7371.0,5197.9,6
1875.0,-7532.0,5080.2,6
1876.2,-7541.3,5072.8,7
1900.0,-7718.3,4925.3,7
1925.0,-7905.1,4759.3,7
1950.0,-8114.3,4586.9,7
1975.0,-8367.8,4487.2,7
2000.0,-8528.0,4625.7,7
2025.0,-8614.0,4857.9,7
2050.0,-8666.4,5091.3,7
2075.0,-8724.7,5331.5,7
2085.2,-8750.9,5424.0,8
2100.0,-8788.6,5544.1,8
2125.0,-8881.5,5775.9,8
2150.0,-9064.9,6022.8,8
2175.0,-9237.8,6136.7,8
2200.0,-9475.0,6158.9,8
2225.0,-9712.2,6083.7,8
2250.0,-9925.4,5958.6,8
2275.0,-10130.9,5812.0,8
2300.0,-10326.3,5659.3,8
2325.0,-10520.5,5507.6,8
2350.0,-10716.7,5355.1,8
2375.0,-10913.6,5205.0,8
2389.9,-11046.1,5107.3,9
2400.0,-11167.0,5019.5,9
2425.0,-11346.9,4890.5,9
2450.0,-11515.5,4763.7,9
2475.0,-11715.2,4616.2,9
2500.0,-11919.7,4474.3,9
2525.0,-12130.5,4341.2,9
2550.0,-12345.9,4208.6,9
2575.0,-12584.2,4047.5,9
2600.0,-12755.8,3873.1,9
2625.0,-12835.2,3642.6,9
2650.0,-12841.5,3395.8,9
2675.0,-12746.0,3136.3,9
2675.7,-12741.9,3128.4,10
2700.0,-12589.5,2925.3,10
2725.0,-12407.7,2734.1,10
2750.0,-12343.5,2515.1,10
2775.0,-12382.4,2286.3,10
2797.5,-12439.6,2079.9,11
2800.0,-12446.8,2053.3,11
2825.0,-12485.1,1785.7,11
2850.0,-12402.2,1558.5,11
2875.0,-12303.8,1359.5,11
2900.0,-12192.8,1127.9,11
2924.8,-12084.7,860.1,12
2925.0,-12084.0,858.2,12
2950.0,-12034.9,679.5,12
2975.0,-11996.4,411.6,12
3000.0,-11912.5,166.8,12
3025.0,-11678.8,137.8,12
3050.0,-11520.6,298.7,12
3075.0,-11360.1,525.6,12
3100.0,-11251.0,695.9,12
3125.0,-11126.4,890.8,12
3150.0,-10992.5,1095.7,12
3175.0,-10839.9,1322.0,12
3200.0,-10713.7,1509.1,12
3225.0,-10554.5,1743.8,12
3250.0,-10426.0,1929.9,12
3275.0,-10295.1,2113.9,12
3290.5,-10191.6,2255.6,13
3300.0,-10103.2,2376.5,13
3325.0,-9924.1,2608.7,13
3350.0,-9822.0,2735.5,13
3375.0,-9642.1,2950.9,13
3400.0,-9474.3,3144.6,13
3425.0,-9331.8,3301.1,13
3450.0,-9119.2,3521.1,13
3475.0,-8925.8,3714.8,13
3500.0,-8743.4,3886.8,13
3525.0,-8579.0,4013.1,13
3550.0,-8341.8,4031.0,13
