model,rmse,mae,n,n_users_scored,precision@10,recall@10,ndcg@10,map@10,hit_rate@10
GlobalMean,1.2791720180981527,1.0440216230406012,2292.0,94.0,0.014893617021276595,0.011309889873719661,0.018386519413207028,0.006609112912304402,0.13829787234042554
ItemMean,1.1526864554494416,0.9025055133028141,2292.0,94.0,0.03723404255319149,0.0382217570489705,0.036935258360798695,0.013441455187275856,0.2553191489361702
UserItemBias,1.1526864554494416,0.9025055133028141,2292.0,94.0,0.03723404255319149,0.0382217570489705,0.036935258360798695,0.013441455187275856,0.2553191489361702
Popularity,,,2292.0,94.0,0.04042553191489361,0.05223001926529361,0.062016930985791335,0.03127643492385134,0.2872340425531915
DemographicPopularity,1.149824695627684,0.8980161194226094,2292.0,94.0,0.041489361702127664,0.045126521429712914,0.04804247206378502,0.018057947765394572,0.30851063829787234
GenreContent,1.2696716246956055,1.0285601585942503,2292.0,94.0,0.0010638297872340426,0.0005319148936170213,0.000676816895733529,0.00010638297872340425,0.010638297872340425
UserKNN,1.2791720180981527,1.0440216230406012,2292.0,94.0,0.014893617021276595,0.011309889873719661,0.018386519413207028,0.006609112912304402,0.13829787234042554
ItemKNN,1.2791720180981527,1.0440216230406012,2292.0,94.0,0.014893617021276595,0.011309889873719661,0.018386519413207028,0.006609112912304402,0.13829787234042554
SVD,1.1674316054098628,0.9046255091292782,2292.0,94.0,0.030851063829787233,0.028152462153247834,0.03240743435402999,0.01229867912492026,0.2127659574468085
NMF,1.2791720180981527,1.0440216230406012,2292.0,94.0,0.014893617021276595,0.011309889873719661,0.018386519413207028,0.006609112912304402,0.13829787234042554
ColdStartRouter(SVD|demographic),1.149824695627684,0.8980161194226094,2292.0,94.0,0.041489361702127664,0.045126521429712914,0.04804247206378502,0.018057947765394572,0.30851063829787234
