date,spread,z,phase,held_position,event
2025-01-13,-0.084534177,-4.4504536,formation,0,
2025-01-14,-0.071146369,-3.7456284,formation,0,
2025-01-15,-0.060032923,-3.160541,formation,0,
2025-01-16,-0.050349601,-2.6507452,formation,0,
2025-01-17,-0.04974442,-2.6188843,formation,0,
2025-01-21,-0.045503437,-2.3956101,formation,0,
2025-01-22,-0.048140987,-2.5344687,formation,0,
2025-01-23,-0.045775206,-2.4099179,formation,0,
2025-01-24,-0.039401922,-2.0743849,formation,0,
2025-01-27,-0.031626723,-1.6650457,formation,0,
2025-01-28,-0.03405581,-1.7929293,formation,0,
2025-01-29,-0.033238746,-1.7499135,formation,0,
2025-01-30,-0.029177368,-1.5360949,formation,0,
2025-01-31,-0.032512445,-1.711676,formation,0,
2025-02-03,-0.029153327,-1.5348292,formation,0,
2025-02-04,-0.03805229,-2.0033312,formation,0,
2025-02-05,-0.021163972,-1.1142153,formation,0,
2025-02-06,-0.015095417,-0.79472532,formation,0,
2025-02-07,-0.0096246735,-0.50670822,formation,0,
2025-02-10,-0.019474617,-1.0252762,formation,0,
2025-02-11,-0.010560186,-0.55595995,formation,0,
2025-02-12,-0.013958733,-0.73488254,formation,0,
2025-02-13,-0.015700414,-0.82657649,formation,0,
2025-02-14,-0.01352157,-0.71186734,formation,0,
2025-02-18,-0.0048493008,-0.25530015,formation,0,
2025-02-19,-0.0041445335,-0.21819641,formation,0,
2025-02-20,-0.0147486,-0.77646652,formation,0,
2025-02-21,-0.012365807,-0.6510201,formation,0,
2025-02-24,-0.0059354737,-0.31248367,formation,0,
2025-02-25,-0.0031921545,-0.16805671,formation,0,
2025-02-26,-0.0030477496,-0.16045425,formation,0,
2025-02-27,0.010575291,0.5567552,formation,0,
2025-02-28,0.021682297,1.1415035,formation,0,
2025-03-03,0.023621654,1.2436044,formation,0,
2025-03-04,-0.0022285613,-0.11732661,formation,0,
2025-03-05,-0.0048889376,-0.2573869,formation,0,
2025-03-06,-0.007189508,-0.37850456,formation,0,
2025-03-07,-0.011435861,-0.60206145,formation,0,
2025-03-10,-0.013751964,-0.72399686,formation,0,
2025-03-11,-0.016827029,-0.88588918,formation,0,
2025-03-12,-0.018596236,-0.97903225,formation,0,
2025-03-13,-0.0099229573,-0.52241191,formation,0,
2025-03-14,0.0012237823,0.064428215,formation,0,
2025-03-17,0.012022159,0.63292817,formation,0,
2025-03-18,0.020857114,1.0980602,formation,0,
2025-03-19,0.021184781,1.1153109,formation,0,
2025-03-20,0.023930923,1.2598864,formation,0,
2025-03-21,0.018282711,0.96252614,formation,0,
2025-03-24,0.015170824,0.79869529,formation,0,
2025-03-25,0.01629225,0.85773474,formation,0,
2025-03-26,0.020670402,1.0882305,formation,0,
2025-03-27,0.018321754,0.96458167,formation,0,
2025-03-28,0.016465987,0.86688144,formation,0,
2025-03-31,0.027393574,1.4421839,formation,0,
2025-04-01,0.020381544,1.073023,formation,0,
2025-04-02,0.018060751,0.95084065,formation,0,
2025-04-03,0.0024220707,0.12751426,formation,0,
2025-04-04,-0.048905121,-2.5746979,formation,0,
2025-04-07,-0.044746211,-2.3557446,formation,0,
2025-04-08,-0.035160815,-1.8511042,formation,0,
