fold,trading_start,trading_end,n_pairs_p_below_alpha,n_bh_fdr,n_selected,n_negative_beta,n_same_sleeve,gross_return,net_return,net_max_drawdown
0,2008-01-03,2008-07-02,31,0,20,13,2,-0.004766435559,-0.006326307173,-0.01137512661
1,2008-07-03,2008-12-31,25,0,20,9,2,-0.01480451874,-0.01630242894,-0.01837170953
2,2009-01-02,2009-07-02,58,0,20,2,3,-0.0002776098635,-0.001951945255,-0.01415029017
3,2009-07-06,2009-12-31,46,1,20,0,5,-0.006741777431,-0.008198172302,-0.02556288991
4,2010-01-04,2010-07-02,175,0,20,0,5,-0.01231011049,-0.01393509463,-0.05540736053
5,2010-07-06,2010-12-31,27,0,20,0,3,0.004371307608,0.0028112235,-0.006977126786
6,2011-01-03,2011-07-01,36,0,20,0,6,0.001978946568,0.0002320960678,-0.007847903629
7,2011-07-05,2011-12-30,68,0,20,0,3,-0.00697227649,-0.008590627064,-0.0153294859
8,2012-01-03,2012-07-02,52,0,20,3,3,-0.01150949519,-0.01284410136,-0.01947087251
9,2012-07-03,2013-01-03,53,0,20,3,6,0.006012631566,0.004388062743,-0.00443745058
10,2013-01-04,2013-07-05,28,2,20,0,3,-0.002290426588,-0.003873963121,-0.005518802707
11,2013-07-08,2014-01-03,24,0,20,0,5,-0.002639085268,-0.004320230309,-0.01123760012
12,2014-01-06,2014-07-07,41,0,20,11,3,0.0141600449,0.01208279101,-0.007331541253
13,2014-07-08,2015-01-05,52,0,20,4,2,-0.01017673609,-0.01183436831,-0.01471888005
14,2015-01-06,2015-07-07,46,0,20,0,2,-0.001510753813,-0.002934565362,-0.01131956774
15,2015-07-08,2016-01-05,79,0,20,2,5,-0.01231642971,-0.01357633544,-0.01450888315
16,2016-01-06,2016-07-06,78,0,20,6,5,-0.008710313665,-0.01010305088,-0.01516167591
17,2016-07-07,2017-01-04,28,0,20,0,3,0.004462565814,0.0027290025,-0.005064108841
18,2017-01-05,2017-07-06,101,1,20,0,2,-0.002336458924,-0.003535706391,-0.01697147192
19,2017-07-07,2018-01-04,57,0,20,6,6,-0.0133115561,-0.01514654844,-0.02604699219
20,2018-01-05,2018-07-06,78,0,20,0,1,-0.01089234104,-0.01196487704,-0.01340359917
21,2018-07-09,2019-01-07,64,0,20,11,2,-0.01607888705,-0.01744454147,-0.01826461944
22,2019-01-08,2019-07-09,22,0,20,8,5,-0.007142277858,-0.008625928328,-0.01168624857
23,2019-07-10,2020-01-07,23,0,20,0,4,-0.007314205477,-0.008822091538,-0.01004035974
24,2020-01-08,2020-07-08,51,0,20,0,3,0.008396277978,0.006539490818,-0.01054011504
25,2020-07-09,2021-01-06,38,0,20,6,2,-0.002495614774,-0.004001560226,-0.01983471214
26,2021-01-07,2021-07-08,34,0,20,1,1,-0.007314098883,-0.008814890915,-0.0117834549
27,2021-07-09,2022-01-05,57,0,20,5,3,0.001613168412,9.009653633e-05,-0.0192109557
28,2022-01-06,2022-07-08,117,0,20,13,0,-0.02381313425,-0.02504554353,-0.02796855033
29,2022-07-11,2023-01-06,67,0,20,2,2,0.01789552898,0.01561097882,-0.007701034998
30,2023-01-09,2023-07-11,39,0,20,2,1,8.345387191e-05,-0.00159949226,-0.02010868284
31,2023-07-12,2024-01-09,31,0,20,12,4,-0.001968069662,-0.0035516312,-0.0220597674
32,2024-01-10,2024-07-11,28,0,20,0,1,-0.009596421221,-0.01100788684,-0.01310164778
33,2024-07-12,2025-01-10,49,2,20,1,2,0.009413526052,0.00751858796,-0.004602424874
34,2025-01-13,2025-07-15,54,0,20,0,1,-0.002153443592,-0.003821964901,-0.01157108326
35,2025-07-16,2026-01-13,88,0,20,2,3,-0.0009006323791,-0.00220303934,-0.006885101036
36,2026-01-14,2026-07-16,138,31,20,0,3,0.002015232514,3.612759513e-05,-0.009024756356
