pair,y,x,sleeve_y,sleeve_x,same_sleeve,fold,beta,eg_pvalue,half_life,oos_half_life,oos_spread_std_vs_formation,oos_mean_abs_z,oos_max_abs_z,oos_gross_pnl_slot,oos_turnover_slot,oos_short_notional_slot,oos_days_in_position,n_trades
SHY/XHB,SHY,XHB,fixed_income,industry,False,0,-0.0884911,0.00586818,6.79497,22.7536,3.1826,7.59836,12.381,-0.000512196,0.1,0.05,1,1
IEF/XLY,IEF,XLY,fixed_income,us_sector,False,0,-0.528911,0.00623655,7.5497,27.2672,1.88222,1.80998,4.58459,0.00159259,0.4,1,21,4
FXI/QQQ,FXI,QQQ,intl_equity,us_broad,False,0,3.40853,0.00754211,6.86447,15.1535,2.20392,3.26677,7.19752,-0.0013558,0.1,0.0226833,2,1
EEM/QQQ,EEM,QQQ,intl_equity,us_broad,False,0,1.72379,0.0113642,5.55326,12.2711,2.36136,5.65075,10.5819,-0.000284888,0.1,0.0183568,1,1
EWJ/XRT,EWJ,XRT,intl_equity,industry,False,0,0.31413,0.0118117,6.21562,7.06081,1.98767,2.05786,6.68496,-0.00126811,0.1,0.035856,3,1
IWM/TLT,IWM,TLT,us_broad,fixed_income,False,0,-0.545393,0.0183718,6.87012,5.39005,1.02745,2.4935,5.75519,-0.000678532,0.1,0,7,1
EWJ/IEF,EWJ,IEF,intl_equity,fixed_income,False,0,-0.672292,0.0231588,7.20874,7.05144,1.53866,1.8255,5.29869,-0.000833963,0.1,0,2,1
EWJ/XLY,EWJ,XLY,intl_equity,us_sector,False,0,0.444601,0.0248932,7.12142,6.54846,1.73549,1.74189,5.84422,-0.00126278,0.1,0.0615534,4,1
EWJ/SHY,EWJ,SHY,intl_equity,fixed_income,False,0,-0.979783,0.0255652,7.24258,7.18897,1.59639,2.03581,5.87853,-0.0008516,0.1,0,7,1
EWJ/GLD,EWJ,GLD,intl_equity,commodity,False,0,-0.206254,0.0313354,7.40702,5.69599,1.3056,1.87338,4.98042,-0.0014735,0.1,0,2,1
EWJ/TIP,EWJ,TIP,intl_equity,fixed_income,False,0,-0.605078,0.0317892,7.5155,7.81106,1.62908,1.88705,5.41041,-0.00127448,0.1,0,4,1
IEF/XRT,IEF,XRT,fixed_income,industry,False,0,-0.365816,0.0319416,8.23951,10.6624,1.70437,1.93727,5.10033,0.00289734,0.1,0,12,1
XLB/XLE,XLB,XLE,us_sector,us_sector,True,0,0.510662,0.033167,7.90691,8.07301,1.00022,0.797438,5.11786,0.00213486,0.3,0.371843,22,3
DBC/KRE,DBC,KRE,commodity,industry,False,0,-1.0497,0.0331916,5.48533,9.87434,1.82511,3.02247,4.88648,0.00117882,0.2,0.95,23,2
EWJ/TLT,EWJ,TLT,intl_equity,fixed_income,False,0,-0.533635,0.033563,7.76526,6.58555,1.43616,2.37976,6.19071,-0.00118412,0.1,0,4,1
EWJ/XBI,EWJ,XBI,intl_equity,industry,False,0,-0.192042,0.0347041,7.34435,8.16886,1.73005,3.53902,8.35714,-0.000976684,0.1,0,7,1
EWG/XLE,EWG,XLE,intl_equity,us_sector,False,0,0.823704,0.0355391,7.46974,56.9332,2.75001,5.31332,12.1993,-0.0006018,0.1,0.270999,12,1
XLB/XLK,XLB,XLK,us_sector,us_sector,True,0,0.953424,0.0401306,9.49491,7.23349,1.5704,5.1863,7.5103,0.000133686,0.2,0.204769,8,2
IWM/TIP,IWM,TIP,us_broad,fixed_income,False,0,-0.428138,0.0403957,8.00217,6.23783,1.02123,2.22515,4.86745,-0.000864224,0.1,0,7,1
TIP/XLY,TIP,XLY,fixed_income,us_sector,False,0,-0.55865,0.0410558,8.33303,10.788,1.49923,1.56092,4.26056,0.000758925,0.3,3,70,3
