formation_days,entry_z,max_pairs,cost_bps_per_side,is_default,n_oos_days,gross_sharpe,gross_ann_return,net_sharpe,net_ann_return,net_ann_vol,net_max_drawdown,ann_turnover,net_cumulative
126,1.5,5,0,False,4788,-0.016703512,-0.0012309904,-0.033864373,-0.0018431974,0.03572876,-0.13581556,6.3789474,-0.034445822
126,1.5,5,1,False,4788,-0.016703512,-0.0012309904,-0.051716557,-0.0024797638,0.035729888,-0.13905903,6.3789474,-0.046078625
126,1.5,5,2,False,4788,-0.016703512,-0.0012309904,-0.069566707,-0.0031159425,0.035731481,-0.14393879,6.3789474,-0.057571605
126,1.5,5,5,False,4788,-0.016703512,-0.0012309904,-0.12309797,-0.0050221545,0.03573906,-0.16565263,6.3789474,-0.09122828
126,1.5,5,10,False,4788,-0.016703512,-0.0012309904,-0.21221101,-0.0081914406,0.035761008,-0.20272537,6.3789474,-0.1446789
126,1.5,5,20,False,4788,-0.016703512,-0.0012309904,-0.38973005,-0.014501112,0.035839748,-0.27436048,6.3789474,-0.24235348
126,1.5,20,0,False,4788,-0.21705571,-0.0044856628,-0.23813166,-0.0049018765,0.01981143,-0.11829504,4.0368421,-0.089138726
126,1.5,20,1,False,4788,-0.21705571,-0.0044856628,-0.25850485,-0.0053035147,0.019811671,-0.12371412,4.0368421,-0.096098547
126,1.5,20,2,False,4788,-0.21705571,-0.0044856628,-0.27887423,-0.005704996,0.019812147,-0.12909996,4.0368421,-0.10300528
126,1.5,20,5,False,4788,-0.21705571,-0.0044856628,-0.33995236,-0.0069084994,0.019814982,-0.1450601,4.0368421,-0.12341096
126,1.5,20,10,False,4788,-0.21705571,-0.0044856628,-0.44160586,-0.0089112072,0.019824399,-0.17236382,4.0368421,-0.15639579
126,1.5,20,20,False,4788,-0.21705571,-0.0044856628,-0.64405343,-0.012904907,0.019860795,-0.22898655,4.0368421,-0.21869453
126,1.5,50,0,False,4788,-0.25729013,-0.0032187119,-0.27635685,-0.0034520937,0.012241707,-0.077919202,2.0715789,-0.0635913
126,1.5,50,1,False,4788,-0.25729013,-0.0032187119,-0.29330625,-0.0036585045,0.012240576,-0.080991769,2.0715789,-0.067269573
126,1.5,50,2,False,4788,-0.25729013,-0.0032187119,-0.31025562,-0.0038648743,0.01223957,-0.084054124,2.0715789,-0.070933428
126,1.5,50,5,False,4788,-0.25729013,-0.0032187119,-0.36109841,-0.0044837374,0.012237298,-0.093180248,2.0715789,-0.081839044
126,1.5,50,10,False,4788,-0.25729013,-0.0032187119,-0.44578746,-0.0055143553,0.012236007,-0.1084832,2.0715789,-0.099731921
