trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
TRBLU1,6:28:00,6:28:00,002_WP,1,Wal-Mart,0,0,0.0,1
TRBLU1,6:30:00,6:30:00,003_A,2,Wal-Mart,0,0,0.22,1
TRBLU1,6:32:12,6:32:12,004_WBC,3,Wal-Mart,0,0,0.77,1
TRBLU1,6:33:00,6:33:00,005_SMV,4,Wal-Mart,0,0,0.97,1
TRBLU1,6:35:00,6:35:00,001_AS,5,Wal-Mart,0,0,1.32,1
TRBLU1,6:37:00,6:37:00,006_CS,6,Wal-Mart,0,0,1.5,1
TRBLU1,6:38:00,6:38:00,007_CM,7,Wal-Mart,0,0,1.64,1
TRBLU1,6:38:16,6:38:16,008_CSMF,8,Wal-Mart,0,0,1.73,1
TRBLU1,6:40:11,6:40:11,009_PE,9,Wal-Mart,0,0,2.35,1
TRBLU1,6:42:00,6:42:00,010_W,10,Westgate Plaza,0,0,2.94,1
TRBLU1,6:43:26,6:43:26,011_PW,11,Westgate Plaza,0,0,3.32,1
TRBLU1,6:47:00,6:47:00,013_CL,13,Westgate Plaza,0,0,4.26,1
TRBLU1,6:48:00,6:48:00,014_CI,14,Westgate Plaza,0,0,4.52,1
TRBLU1,6:49:00,6:49:00,015_LS,15,Westgate Plaza,0,0,4.66,1
TRBLU1,6:51:00,6:51:00,001_AS,16,Westgate Plaza,0,0,4.95,1
TRBLU1,6:53:00,6:53:00,016_EL,17,Westgate Plaza,0,0,5.43,1
TRBLU1,6:56:00,6:56:00,017_RE,18,Westgate Plaza,0,0,5.82,1
TRBLU1,6:58:00,6:58:00,002_WP,19,Westgate Plaza,0,0,6.31,1
TRBLU10,10:58:00,10:58:00,002_WP,1,Wal-Mart,0,0,0.0,1
TRBLU10,11:00:00,11:00:00,003_A,2,Wal-Mart,0,0,0.22,1
TRBLU10,11:02:00,11:02:00,004_WBC,3,Wal-Mart,0,0,0.77,1
TRBLU10,11:03:00,11:03:00,005_SMV,4,Wal-Mart,0,0,0.97,1
TRBLU10,11:05:00,11:05:00,001_AS,5,Wal-Mart,0,0,1.32,1
TRBLU10,11:07:00,11:07:00,006_CS,6,Wal-Mart,0,0,1.5,1
TRBLU10,11:08:00,11:08:00,007_CM,7,Wal-Mart,0,0,1.64,1
TRBLU10,11:08:16,11:08:16,008_CSMF,8,Wal-Mart,0,0,1.73,1
TRBLU10,11:10:11,11:10:11,009_PE,9,Wal-Mart,0,0,2.35,1
TRBLU10,11:12:00,11:12:00,010_W,10,Westgate Plaza,0,0,2.94,1
TRBLU10,11:13:26,11:13:26,011_PW,11,Westgate Plaza,0,0,3.32,1
TRBLU10,11:17:00,11:17:00,013_CL,13,Westgate Plaza,0,0,4.26,1
TRBLU10,11:18:00,11:18:00,014_CI,14,Westgate Plaza,0,0,4.52,1
TRBLU10,11:19:00,11:19:00,015_LS,15,Westgate Plaza,0,0,4.66,1
TRBLU10,11:21:00,11:21:00,001_AS,16,Westgate Plaza,0,0,4.95,1
TRBLU10,11:23:00,11:23:00,016_EL,17,Westgate Plaza,0,0,5.43,1
TRBLU10,11:26:00,11:26:00,017_RE,18,Westgate Plaza,0,0,5.82,1
TRBLU10,11:28:00,11:28:00,002_WP,19,Westgate Plaza,0,0,6.31,1
TRBLU11,11:28:00,11:28:00,002_WP,1,Wal-Mart,0,0,0.0,1
