stop_name,location_type,stop_timezone,wheelchair_boarding,stop_id,stop_desc,stop_lat,stop_lon
Sheraton Mountain Vista,0,America/Denver,1,005_SMV,"On the south side of W Beaver Creek Blvd, just before the Sheraton Mountain Vista Villas.",39.63628618000007,-106.52444114999997
Comfort Inn,0,America/Denver,1,014_CI,On the east side of W Beaver Creek Blvd in front of the Comfort Inn hotel.,39.63707231500007,-106.52465569999998
West Beaver Creek Blvd,0,America/Denver,1,004_WBC,On the south side of W Beaver Creek Blvd and right before the eastern entrance to Beaver Creek West Condominiums.,39.63883237300007,-106.52629043799999
Aspens,0,America/Denver,1,003_A,East side of W Beaver Creek Blvd closest to tennis courts.,39.63800961100003,-106.53482743799998
Westgate Plaza,0,America/Denver,1,002_WP,"On the east side of W Beaver Creek Blvd, just before the northern corner of Westgate Plaza.",39.63592550000004,-106.53768269999995
River Edge,0,America/Denver,1,017_RE,On the north side of Hwy 6 right before the western entrance into the River Edge Apartments.,39.634020140000075,-106.53019572299996
Lake Street,0,America/Denver,1,015_LS,On the northwest side of Lake Street and the northeast corner of the field.,39.63647633900007,-106.52700637099997
Avon Station,0,America/Denver,1,001_AS,"Pick up on the south side of the loop, closest to railway.",39.634044121000045,-106.52443511999996
Chapel Square/Mtn Family Health,0,America/Denver,1,008_CSMF,On the northeast corner of the Mtn Family Medical Center building.,39.63295934000007,-106.51838066899995
Christy Sports,0,America/Denver,1,006_CS,On the west side of E Benchmark Rd about 40 meters before the traffic circle.,39.633726317000026,-106.52178055699994
Walmart,0,America/Denver,1,010_W,On the west side of Fawcett Rd.,39.62727171700004,-106.50198887599998
Piedmont WB,0,America/Denver,1,011_PW,On north side of E Beaver Creek Blvd next to the Piedmont apartments' western entrance.,39.62825087700003,-106.50779306499999
Elk Lot,0,America/Denver,1,016_EL,By the east side of the parking lot just before entering the parking lot.,39.63089296700008,-106.52474706399994
Piedmont EB,0,America/Denver,1,009_PE,On the south side of E Beaver Creek Blvd about 140 meters west of the Piedmont apartments.,39.62860740000008,-106.50899379999998
Avon Crossing/ Canyon Run,0,America/Denver,1,023_ACCR,On the south side of Hurd Ln just after the westernmost entrance to Canyon Run.,39.63131260800003,-106.51923930699996
Eaglebend North,0,America/Denver,1,024_EN,On the south side of E Hurd Ln just before the intersection of Stonebridge Dr into the complex.,39.630253624000034,-106.51493704699999
Stonebridge Dr,0,America/Denver,1,025_SD,On the west side of Stonebridge Dr just before the bridge.,39.628428582000026,-106.51270035599998
Eaglebend West,0,America/Denver,1,026_EW,"On the north side of Hwy 6, just before the entrance to the Eaglebend Apartments.",39.62966734500003,-106.51794306499994
Buffalo Ridge West,0,America/Denver,1,018_BRW,South side of Swift Gulch Rd on the western end of the Buffalo Ridge apartments.,39.63332074600004,-106.50716165899996
Buffalo Ridge East,0,America/Denver,1,019_BRE,South side of Swift Gulch Rd on the eastern end of the Buffalo Ridge apartments.,39.63242736600006,-106.50439588399996
Spring Hill Suites,0,America/Denver,1,020_SHS,On the southwest side of Swift Gulch Road right in front of the Spring Hill Suites building.,39.629099550000035,-106.49384127099995
American National Bank,0,America/Denver,1,021_ANB,North side of Beaver Creek Pl closest to American National Bank.,39.63393795700006,-106.51949558599995
Loaded Joes,0,America/Denver,1,022_LJ,On the east side of E Benchmark Rd just before entering the traffic circle.,39.63400496700007,-106.52168150299997
City Market,0,America/Denver,1,007_CM,On the south side of Beaver Creek Pl and the northeast corner of the City Market parking lot.,39.633768401000054,-106.51947548199996
Northside Kitchen/Urgent Care,0,America/Denver,1,027_NK,On the north side of Nottingham Rd in front of Northside Kitchen Restaurant.,39.638872150000054,-106.52149676699997
Christie Lodge,0,America/Denver,1,013_CL,On the north side of E Beaver Creek Blvd in front of Christy Lodge.,39.635089245000074,-106.52116339299994
Beaver Creek Village,0,America/Denver,1,029_BCV,,39.603928487829364,-106.51860107808724
