month,rf-expanding-refit12m,ridge-expanding-refit12m,rf-expanding-refit36m,ridge-expanding-refit36m,rf-rolling-refit12m,ridge-rolling-refit12m,rf-rolling-refit36m,ridge-rolling-refit36m
1973-07,0.0893923,0.404408,0.0893923,0.404408,0.0893923,0.404408,0.0893923,0.404408
1973-08,-0.10036,-0.0434705,-0.10036,-0.0434705,-0.10036,-0.0434705,-0.10036,-0.0434705
1973-09,0.30823,0.353794,0.30823,0.353794,0.30823,0.353794,0.30823,0.353794
1973-10,0.543177,0.595219,0.543177,0.595219,0.543177,0.595219,0.543177,0.595219
1973-11,0.334294,0.455522,0.334294,0.455522,0.334294,0.455522,0.334294,0.455522
1973-12,0.0513802,-0.331548,0.0513802,-0.331548,0.0513802,-0.331548,0.0513802,-0.331548
1974-01,-0.0432664,0.419654,-0.0432664,0.419654,-0.0432664,0.419654,-0.0432664,0.419654
1974-02,0.157045,-0.393224,0.157045,-0.393224,0.157045,-0.393224,0.157045,-0.393224
1974-03,0.378071,0.226638,0.378071,0.226638,0.378071,0.226638,0.378071,0.226638
1974-04,0.0848513,0.107454,0.0848513,0.107454,0.0848513,0.107454,0.0848513,0.107454
1974-05,0.310008,0.322661,0.310008,0.322661,0.310008,0.322661,0.310008,0.322661
1974-06,0.191122,0.225102,0.191122,0.225102,0.191122,0.225102,0.191122,0.225102
1974-07,0.0665306,0.163163,0.0842857,0.177245,0.127959,0.145918,0.0842857,0.177245
1974-08,-0.00831654,0.0905125,-0.120615,0.0848491,-0.0072961,0.0911758,-0.120615,0.0848491
1974-09,0.015102,-0.0509184,-0.0396939,-0.223061,-0.102245,-0.0537755,-0.0396939,-0.223061
1974-10,0.309592,0.348878,0.26398,0.401122,0.377143,0.341224,0.26398,0.401122
1974-11,-0.226236,0.130823,-0.0943415,0.18205,-0.198428,0.121792,-0.0943415,0.18205
1974-12,-0.0418888,-0.450879,-0.0749509,-0.361132,-0.0218883,-0.435317,-0.0749509,-0.361132
1975-01,0.181122,-0.374592,0.138673,-0.383163,0.167449,-0.360918,0.138673,-0.383163
1975-02,-0.114238,-0.0412255,-0.0663282,-0.0183168,-0.10786,-0.0477563,-0.0663282,-0.0183168
1975-03,0.489184,0.295612,0.442857,0.23,0.449694,0.296939,0.442857,0.23
1975-04,0.00632653,0.0253061,0.0628571,0.00734694,0.0102041,0.0330612,0.0628571,0.00734694
1975-05,0.0730687,-0.119451,0.0136749,-0.17165,0.0695479,-0.109348,0.0136749,-0.17165
1975-06,0.0854125,0.0476045,0.0192357,-0.105209,0.0605133,0.0546967,0.0192357,-0.105209
1975-07,-0.0670935,-0.211332,-0.00321437,-0.174494,-0.0927575,-0.225465,-0.00321437,-0.174494
1975-08,0.34705,0.269854,0.331692,0.327253,0.339856,0.219546,0.331692,0.327253
1975-09,-0.0471441,-0.0202046,-0.00913289,-0.0186739,-0.0129085,-0.00438787,-0.00913289,-0.0186739
1975-10,0.0958698,0.162759,0.207301,0.105258,0.0942371,0.134391,0.207301,0.105258
1975-11,-0.223673,-0.334082,-0.196735,-0.234388,-0.26898,-0.377959,-0.196735,-0.234388
1975-12,0.040102,0.202347,0.0287755,0.094898,0.0372449,0.227959,0.0287755,0.094898
1976-01,0.222302,0.300722,0.182454,0.229394,0.156841,0.340927,0.182454,0.229394
1976-02,-0.239106,-0.420247,-0.288244,-0.420247,-0.273242,-0.419175,-0.288244,-0.420247
1976-03,0.0210204,0.174286,0.0332653,0.0394898,0.0153061,0.22898,0.0332653,0.0394898
1976-04,0.346999,0.245823,0.330774,0.236128,0.331794,0.240771,0.330774,0.236128
1976-05,0.123673,-0.0838776,0.192755,0.0379592,0.143367,-0.109184,0.192755,0.0379592
1976-06,-0.0547959,-0.0631633,-0.0915306,-0.170102,-0.0442857,-0.0563265,-0.0915306,-0.170102
1976-07,0.481531,0.454082,0.481531,0.454082,0.586122,0.455204,0.586122,0.455204
1976-08,0.185009,0.0607684,0.185009,0.0607684,0.171897,0.0130619,0.171897,0.0130619
1976-09,-0.26,-0.134592,-0.26,-0.134592,-0.261735,-0.0226531,-0.261735,-0.0226531
1976-10,0.316488,0.461593,0.316488,0.461593,0.327866,0.446695,0.327866,0.446695
1976-11,-0.0198474,-0.0169392,-0.0198474,-0.0169392,-0.103166,-0.0218373,-0.103166,-0.0218373
1976-12,0.549198,0.60573,0.549198,0.60573,0.564606,0.607413,0.564606,0.607413
1977-01,-0.361122,-0.351939,-0.361122,-0.351939,-0.320918,-0.290306,-0.320918,-0.290306
1977-02,0.0787835,0.125727,0.0787835,0.125727,0.0622002,0.0972548,0.0622002,0.0972548
1977-03,0.29949,0.30102,0.29949,0.30102,0.286531,0.311429,0.286531,0.311429
1977-04,0.367551,0.413673,0.367551,0.413673,0.349184,0.386837,0.349184,0.386837
1977-05,0.0518367,0.0986735,0.0518367,0.0986735,0.00744898,0.054898,0.00744898,0.054898
1977-06,0.303571,0.328673,0.303571,0.328673,0.323163,0.373776,0.323163,0.373776
1977-07,0.016429,-0.11786,0.0264292,-0.103166,-0.0414807,-0.136228,-0.0214291,-0.133575
1977-08,0.0356122,0.329082,0.0314286,0.284592,0.115918,0.283673,0.055102,0.309388
1977-09,0.0102046,0.0121435,0.00051023,0.0077555,-0.0191336,0.0127047,0.0255115,0.0246441
1977-10,0.26016,0.159596,0.254139,0.17577,0.284701,0.191382,0.237659,0.136381
1977-11,0.332525,0.272062,0.29242,0.265837,0.311912,0.224252,0.295533,0.24507
1977-12,-0.0072449,0.146837,0.00540816,0.122143,0.0447959,0.193163,0.0203061,0.167449
1978-01,0.167708,0.283528,0.186382,0.27465,0.192964,0.265721,0.16679,0.259752
1978-02,0.477984,0.387112,0.458952,0.396551,0.481759,0.352926,0.442063,0.375938
1978-03,-0.106281,-0.218072,-0.0650543,-0.21496,-0.169039,-0.262462,-0.110006,-0.231083
1978-04,0.39,0.392551,0.377143,0.390714,0.437857,0.349388,0.35949,0.367959
1978-05,0.360631,0.45089,0.35012,0.451503,0.378642,0.401551,0.404868,0.423848
1978-06,0.28602,0.107551,0.288878,0.100408,0.177551,0.0532653,0.227041,0.0737755
1978-07,0.207811,0.195566,0.207811,0.152759,0.150871,0.167708,0.158065,0.0756652
1978-08,-0.383764,-0.24079,-0.326309,-0.217624,-0.232473,-0.0859782,-0.203592,-0.0685784
1978-09,-0.218061,-0.324694,-0.0730612,-0.201633,-0.00469388,-0.0742857,0.0692857,-0.0554082
1978-10,-0.317508,-0.114391,-0.386438,-0.249343,-0.388326,-0.313273,-0.437205,-0.385112
1978-11,0.618061,0.424082,0.537347,0.407347,0.488265,0.427959,0.475,0.35602
1978-12,-0.417919,-0.331743,-0.506493,-0.373377,-0.501084,-0.379346,-0.480625,-0.374193
1979-01,0.21568,-0.100773,0.327678,-0.0501059,0.247927,-0.253234,0.359772,-0.044034
1979-02,0.0190311,0.142657,-0.044593,0.0498992,-0.0974515,0.0904615,-0.128881,-0.0660221
1979-03,-0.162708,0.0385214,-0.176331,-0.000816347,-0.176382,-0.0301538,-0.143626,0.037552
1979-04,-0.051074,-0.139752,0.0307159,-0.0711261,0.0633196,-0.174039,0.158886,-0.0413797
1979-05,0.342857,0.271429,0.286122,0.261735,0.254694,0.125714,0.252755,0.201122
1979-06,0.0297967,0.0710222,0.0457155,0.0474502,0.0303579,-0.00566341,0.01648,0.0154086
1979-07,0.0654082,0.0733673,0.0654082,0.0733673,-0.0116327,0.0836735,-0.0116327,0.0836735
1979-08,0.350978,0.419807,0.350978,0.419807,0.376795,0.335264,0.376795,0.335264
1979-09,-0.0532667,-0.136126,-0.0532667,-0.136126,-0.000561239,-0.00454093,-0.000561239,-0.00454093
1979-10,0.408878,0.467449,0.408878,0.467449,0.310714,0.268265,0.310714,0.268265
1979-11,0.466531,0.50102,0.466531,0.50102,0.346122,0.405918,0.346122,0.405918
1979-12,0.519554,0.48588,0.519554,0.48588,0.483839,0.382918,0.483839,0.382918
1980-01,0.180714,0.237347,0.180714,0.237347,0.118571,0.172653,0.118571,0.172653
1980-02,-0.674354,-0.696242,-0.674354,-0.696242,-0.714253,-0.611087,-0.714253,-0.611087
1980-03,0.0597959,0.189388,0.0597959,0.189388,0.203061,0.134592,0.203061,0.134592
1980-04,-0.294811,-0.0774019,-0.294811,-0.0774019,-0.231593,-0.0840859,-0.231593,-0.0840859
1980-05,0.283025,0.418695,0.283025,0.418695,0.148018,0.233175,0.148018,0.233175
1980-06,-0.16551,-0.00795918,-0.16551,-0.00795918,-0.175816,0.0962245,-0.175816,0.0962245
1980-07,0.245874,0.446287,0.18327,0.418021,0.244037,0.483482,0.10235,0.371132
1980-08,0.603587,0.693538,0.560831,0.645731,0.594964,0.740172,0.468787,0.614556
1980-09,0.331939,0.300612,0.353469,0.271122,0.190816,0.166224,0.140918,0.0172449
1980-10,0.351999,0.299242,0.342917,0.22424,0.433072,0.37404,0.27414,0.0670935
1980-11,-0.251901,-0.335476,-0.133884,-0.32119,-0.210827,-0.25884,0.0780142,-0.0785754
1980-12,-0.491327,-0.178776,-0.298265,-0.0436735,-0.343367,-0.231837,-0.0828571,0.225204
1981-01,-0.159294,0.0406143,-0.0363284,0.162865,0.0747997,0.157916,0.306444,0.318384
1981-02,-0.0914286,0.0836735,-0.165918,0.0706122,-0.118163,0.137551,-0.217449,0.0368367
1981-03,0.145714,0.215612,0.179898,0.226224,0.0894898,0.201735,0.139082,0.273367
1981-04,0.621817,0.468238,0.571509,0.500791,0.446911,0.267514,0.512475,0.365733
1981-05,-0.503393,-0.597428,-0.468136,-0.591714,-0.466912,-0.563294,-0.331497,-0.576713
1981-06,0.154804,-0.0770958,0.155365,0.00806164,0.0408184,-0.0865861,0.209143,-0.00346956
1981-07,0.137245,0.116122,0.0740816,0.120408,0.186224,-0.103776,0.118469,0.0856122
1981-08,0.274082,0.0988776,0.300408,0.124694,0.236531,0.231429,0.306633,0.241327
1981-09,0.175821,0.116687,0.08939,0.0949004,0.195566,0.0970433,0.0619404,-0.0202046
1981-10,-0.210158,-0.243884,-0.19475,-0.237557,-0.277507,-0.123422,-0.186433,-0.227812
1981-11,-0.0647992,-0.0188785,-0.0395939,-0.00219399,-0.0718404,0.0353079,-0.0448492,0.0335731
1981-12,0.434767,0.392061,0.408541,0.397214,0.355937,0.278688,0.374509,0.320271
1982-01,0.475879,0.504452,0.506697,0.522411,0.442256,0.534197,0.516697,0.553739
1982-02,0.533024,0.534656,0.575423,0.554708,0.508942,0.459604,0.596648,0.451797
1982-03,0.179184,0.131429,0.167245,0.148673,0.162449,0.0837755,0.162755,0.0990816
1982-04,0.243788,0.225318,0.243431,0.2469,0.307261,0.277055,0.314659,0.255523
1982-05,0.528381,0.40251,0.567821,0.429807,0.459757,0.265415,0.527769,0.30613
1982-06,0.487245,0.376429,0.483367,0.401735,0.46949,0.262449,0.448571,0.330204
1982-07,-0.165612,-0.227449,-0.165612,-0.227449,-0.275816,-0.352041,-0.275816,-0.352041
1982-08,-0.117857,0.235204,-0.117857,0.235204,0.0953061,0.25,0.0953061,0.25
1982-09,-0.0247959,-0.196735,-0.0247959,-0.196735,-0.230204,-0.268878,-0.230204,-0.268878
1982-10,0.416552,0.253329,0.416552,0.253329,0.307771,0.0655646,0.307771,0.0655646
1982-11,-0.254146,-0.253482,-0.254146,-0.253482,-0.264452,-0.199449,-0.264452,-0.199449
1982-12,-0.327041,-0.420306,-0.327041,-0.420306,-0.444796,-0.566224,-0.444796,-0.566224
1983-01,-0.00857143,0.293265,-0.00857143,0.293265,0.133163,0.412449,0.133163,0.412449
1983-02,0.228118,0.258476,0.228118,0.258476,0.353734,0.255925,0.353734,0.255925
1983-03,0.120976,0.182969,0.120976,0.182969,0.137762,0.160518,0.137762,0.160518
1983-04,-0.254139,-0.290773,-0.254139,-0.290773,-0.310212,-0.535167,-0.310212,-0.535167
1983-05,0.0699015,0.0865861,0.0699015,0.0865861,0.0956681,0.141997,0.0956681,0.141997
1983-06,-0.19676,-0.375252,-0.19676,-0.375252,-0.121138,-0.33989,-0.121138,-0.33989
1983-07,-0.10475,-0.245931,-0.0581152,-0.315322,-0.142762,-0.268279,-0.119394,-0.252156
1983-08,-0.176484,-0.194036,-0.170617,-0.129391,-0.182403,-0.23669,-0.0589811,-0.0771958
1983-09,0.0182658,-0.0877063,0.0843389,-0.028317,-0.0718896,-0.220975,0.119136,-0.154545
1983-10,-0.244796,-0.187449,-0.266531,-0.191224,-0.252755,-0.0187755,-0.289082,-0.112347
1983-11,0.228781,-0.0133677,0.182658,-0.0412255,0.156382,-0.117962,0.148065,-0.148473
1983-12,0.128367,0.108469,0.164796,0.0992857,0.0897959,-0.241633,0.137959,-0.172347
1984-01,0.0193887,-0.161233,0.00653095,-0.165161,-0.0725037,-0.195928,-0.026532,-0.215317
1984-02,-0.0560204,-0.0589796,-0.0291837,-0.0590816,-0.11449,-0.0381633,-0.00561224,-0.0160204
1984-03,-0.159145,-0.130112,-0.156951,-0.092303,-0.0611271,0.0345435,-0.0437789,0.141848
1984-04,0.350408,0.343061,0.361735,0.321224,0.316531,0.243673,0.347041,0.286224
1984-05,0.0742385,0.0475534,0.111077,0.0868412,0.0315322,0.129905,0.0895454,0.160569
1984-06,0.372765,0.443583,0.380775,0.435776,0.305314,0.504605,0.306896,0.407714
1984-07,-0.302559,-0.379091,-0.318069,-0.418327,-0.185566,-0.289548,-0.328988,-0.396439
1984-08,-0.22398,-0.131633,-0.186122,-0.0702041,-0.322857,-0.0176531,-0.00397959,0.199592
1984-09,0.40501,0.387561,0.409857,0.469094,0.352611,0.266997,0.471134,0.419092
1984-10,0.170102,0.193265,0.208776,0.211122,-0.00683673,0.100306,0.246429,0.261633
1984-11,0.319208,0.0936806,0.305278,0.096436,0.231344,-0.0610251,0.215986,-0.0407684
1984-12,-0.60898,-0.676429,-0.650816,-0.665204,-0.432143,-0.550816,-0.654592,-0.651837
1985-01,-0.0685714,0.221531,0.0713265,0.336837,-0.19,0.0476531,0.274082,0.358673
1985-02,0.301028,0.417358,0.332713,0.409857,0.191638,0.265772,0.340927,0.295263
1985-03,0.450085,0.323086,0.432176,0.335587,0.243029,0.194403,0.41044,0.327576
1985-04,0.232143,0.255918,0.263673,0.292245,0.235102,0.299796,0.275102,0.309694
1985-05,0.315612,0.380204,0.375,0.40051,0.368367,0.405714,0.403061,0.38
1985-06,-0.520983,-0.566239,-0.515064,-0.583127,-0.450318,-0.452154,-0.505064,-0.429195
1985-07,-0.0185729,0.202464,-0.0185729,0.202464,-0.0941909,0.0227058,-0.0941909,0.0227058
1985-08,0.313367,0.229694,0.313367,0.229694,0.283571,0.205612,0.283571,0.205612
1985-09,0.640016,0.53435,0.640016,0.53435,0.503686,0.452665,0.503686,0.452665
1985-10,-0.113628,-0.122404,-0.113628,-0.122404,-0.106332,-0.0999541,-0.106332,-0.0999541
1985-11,0.0781162,0.164447,0.0781162,0.164447,0.144089,0.196745,0.144089,0.196745
1985-12,0.153422,0.189444,0.153422,0.189444,0.0315314,0.12434,0.0315314,0.12434
1986-01,0.346795,0.179443,0.346795,0.179443,0.165157,0.177096,0.165157,0.177096
1986-02,0.357857,0.332041,0.357857,0.332041,0.298061,0.258265,0.298061,0.258265
1986-03,-0.0647482,0.0297464,-0.0647482,0.0297464,-0.031124,-0.0854125,-0.031124,-0.0854125
1986-04,0.0495918,0.262245,0.0495918,0.262245,0.0371429,0.120612,0.0371429,0.120612
1986-05,0.552769,0.659252,0.552769,0.659252,0.552616,0.512462,0.552616,0.512462
1986-06,0.153776,0.155918,0.153776,0.155918,0.207755,0.23398,0.207755,0.23398
1986-07,-0.147967,-0.20746,-0.0692892,-0.115516,-0.252819,-0.271289,0.0556151,-0.00295933
1986-08,-0.201485,-0.0785734,-0.124544,0.0193882,-0.245108,-0.293579,-0.0781142,-0.00617363
1986-09,-0.422256,-0.0666344,-0.478839,-0.164392,-0.21623,0.170566,-0.490472,-0.27164
1986-10,0.023012,-0.0159196,0.041942,-0.0162768,0.0143889,0.0247978,0.0204097,0.0162257
1986-11,0.132449,0.15051,0.106837,0.169898,0.245204,0.201327,0.182551,0.197245
1986-12,0.305,0.238469,0.290816,0.25551,0.217143,0.246531,0.183265,0.272449
1987-01,-0.249445,-0.237506,-0.191127,-0.222608,-0.234649,-0.208067,-0.145973,-0.239751
1987-02,0.175315,0.136997,0.214807,0.109291,0.0796469,0.125823,0.0889841,-0.0230624
1987-03,0.428429,0.328274,0.466338,0.331488,0.386796,0.304038,0.440215,0.269242
1987-04,0.089288,0.0926044,0.077451,0.0967882,0.0799,0.0367356,0.121789,0.0967372
1987-05,-0.183673,-0.177857,-0.244286,-0.158673,-0.20102,-0.0958163,-0.137551,-0.0252041
1987-06,0.271487,0.432511,0.320569,0.394194,0.355825,0.44542,0.277609,0.223985
1987-07,-0.353061,-0.275918,-0.294898,-0.273265,-0.308469,-0.260408,-0.237245,-0.162449
1987-08,0.303783,0.299906,0.261435,0.225516,0.156126,0.314294,0.134646,0.108574
1987-09,-0.0933673,-0.124184,-0.0769388,-0.164184,-0.0420408,-0.0439796,-0.0197959,-0.0636735
1987-10,-0.151896,0.0325017,-0.0281137,0.0559722,-0.00617378,-0.0254605,-0.0633196,-0.0307669
1987-11,0.341896,0.204393,0.286946,0.154035,0.0627567,0.200719,0.251741,0.325467
1987-12,-0.758367,-0.766939,-0.785102,-0.754898,-0.720816,-0.729388,-0.697653,-0.755306
1988-01,-0.413673,-0.102347,-0.486837,-0.196837,-0.328878,0.0971429,-0.267347,0.030102
1988-02,0.110108,-0.044441,0.255472,0.0493903,-0.0594418,-0.290525,-0.0712791,-0.111383
1988-03,0.171701,0.0855189,0.153791,0.0968466,0.00193897,0.0739361,0.0832738,0.112971
1988-04,-0.0382153,0.0514809,-0.0194903,0.100309,-0.0637261,-0.00158167,0.00989821,0.113778
1988-05,-0.356224,-0.344898,-0.388265,-0.37051,-0.220816,-0.112347,-0.298367,-0.338367
1988-06,-0.0264803,0.00581647,-0.0230618,0.0635731,0.0208169,-0.137963,-0.0652057,0.0551545
1988-07,0.31003,0.347916,0.31003,0.347916,0.110399,0.33109,0.110399,0.33109
1988-08,0.0636127,0.0480894,0.0636127,0.0480894,-0.00531915,0.0980243,-0.00531915,0.0980243
1988-09,0.264282,0.28176,0.264282,0.28176,0.263739,0.211469,0.263739,0.211469
1988-10,0.00341955,-0.00542785,0.00341955,-0.00542785,0.0965072,-0.0198117,0.0965072,-0.0198117
1988-11,-0.0961867,-0.0735514,-0.0961867,-0.0735514,-0.193948,-0.0895644,-0.193948,-0.0895644
