window,refit_every,fold,train_start,train_end,train_months,test_start,test_end,test_months
expanding,12,0,1963-07,1973-06,120,1973-07,1974-06,12
expanding,12,1,1963-07,1974-06,132,1974-07,1975-06,12
expanding,12,2,1963-07,1975-06,144,1975-07,1976-06,12
expanding,12,3,1963-07,1976-06,156,1976-07,1977-06,12
expanding,12,4,1963-07,1977-06,168,1977-07,1978-06,12
expanding,12,5,1963-07,1978-06,180,1978-07,1979-06,12
expanding,12,6,1963-07,1979-06,192,1979-07,1980-06,12
expanding,12,7,1963-07,1980-06,204,1980-07,1981-06,12
expanding,12,8,1963-07,1981-06,216,1981-07,1982-06,12
expanding,12,9,1963-07,1982-06,228,1982-07,1983-06,12
expanding,12,10,1963-07,1983-06,240,1983-07,1984-06,12
expanding,12,11,1963-07,1984-06,252,1984-07,1985-06,12
expanding,12,12,1963-07,1985-06,264,1985-07,1986-06,12
expanding,12,13,1963-07,1986-06,276,1986-07,1987-06,12
expanding,12,14,1963-07,1987-06,288,1987-07,1988-06,12
expanding,12,15,1963-07,1988-06,300,1988-07,1989-06,12
expanding,12,16,1963-07,1989-06,312,1989-07,1990-06,12
expanding,12,17,1963-07,1990-06,324,1990-07,1991-06,12
expanding,12,18,1963-07,1991-06,336,1991-07,1992-06,12
expanding,12,19,1963-07,1992-06,348,1992-07,1993-06,12
expanding,12,20,1963-07,1993-06,360,1993-07,1994-06,12
expanding,12,21,1963-07,1994-06,372,1994-07,1995-06,12
expanding,12,22,1963-07,1995-06,384,1995-07,1996-06,12
expanding,12,23,1963-07,1996-06,396,1996-07,1997-06,12
expanding,12,24,1963-07,1997-06,408,1997-07,1998-06,12
expanding,12,25,1963-07,1998-06,420,1998-07,1999-06,12
expanding,12,26,1963-07,1999-06,432,1999-07,2000-06,12
expanding,12,27,1963-07,2000-06,444,2000-07,2001-06,12
expanding,12,28,1963-07,2001-06,456,2001-07,2002-06,12
expanding,12,29,1963-07,2002-06,468,2002-07,2003-06,12
expanding,12,30,1963-07,2003-06,480,2003-07,2004-06,12
expanding,12,31,1963-07,2004-06,492,2004-07,2005-06,12
expanding,12,32,1963-07,2005-06,504,2005-07,2006-06,12
expanding,12,33,1963-07,2006-06,516,2006-07,2007-06,12
expanding,12,34,1963-07,2007-06,528,2007-07,2008-06,12
expanding,12,35,1963-07,2008-06,540,2008-07,2009-06,12
expanding,12,36,1963-07,2009-06,552,2009-07,2010-06,12
expanding,12,37,1963-07,2010-06,564,2010-07,2011-06,12
expanding,12,38,1963-07,2011-06,576,2011-07,2012-06,12
expanding,12,39,1963-07,2012-06,588,2012-07,2013-06,12
expanding,12,40,1963-07,2013-06,600,2013-07,2014-06,12
expanding,12,41,1963-07,2014-06,612,2014-07,2015-06,12
expanding,12,42,1963-07,2015-06,624,2015-07,2016-06,12
expanding,12,43,1963-07,2016-06,636,2016-07,2017-06,12
expanding,12,44,1963-07,2017-06,648,2017-07,2018-06,12
expanding,12,45,1963-07,2018-06,660,2018-07,2019-06,12
expanding,12,46,1963-07,2019-06,672,2019-07,2020-06,12
expanding,12,47,1963-07,2020-06,684,2020-07,2021-06,12
expanding,12,48,1963-07,2021-06,696,2021-07,2022-06,12
expanding,12,49,1963-07,2022-06,708,2022-07,2023-06,12
expanding,12,50,1963-07,2023-06,720,2023-07,2024-06,12
expanding,12,51,1963-07,2024-06,732,2024-07,2025-06,12
expanding,12,52,1963-07,2025-06,744,2025-07,2026-06,12
expanding,12,53,1963-07,2026-06,756,2026-07,2026-07,1
expanding,36,0,1963-07,1973-06,120,1973-07,1976-06,36
expanding,36,1,1963-07,1976-06,156,1976-07,1979-06,36
expanding,36,2,1963-07,1979-06,192,1979-07,1982-06,36
expanding,36,3,1963-07,1982-06,228,1982-07,1985-06,36
expanding,36,4,1963-07,1985-06,264,1985-07,1988-06,36
expanding,36,5,1963-07,1988-06,300,1988-07,1991-06,36
expanding,36,6,1963-07,1991-06,336,1991-07,1994-06,36
expanding,36,7,1963-07,1994-06,372,1994-07,1997-06,36
expanding,36,8,1963-07,1997-06,408,1997-07,2000-06,36
expanding,36,9,1963-07,2000-06,444,2000-07,2003-06,36
expanding,36,10,1963-07,2003-06,480,2003-07,2006-06,36
expanding,36,11,1963-07,2006-06,516,2006-07,2009-06,36
expanding,36,12,1963-07,2009-06,552,2009-07,2012-06,36
expanding,36,13,1963-07,2012-06,588,2012-07,2015-06,36
expanding,36,14,1963-07,2015-06,624,2015-07,2018-06,36
expanding,36,15,1963-07,2018-06,660,2018-07,2021-06,36
expanding,36,16,1963-07,2021-06,696,2021-07,2024-06,36
expanding,36,17,1963-07,2024-06,732,2024-07,2026-07,25
rolling,12,0,1963-07,1973-06,120,1973-07,1974-06,12
