month,rf-expanding-refit12m-top5,rf-expanding-refit12m-top10,ridge-expanding-refit12m-top5,ridge-expanding-refit12m-top10,rf-expanding-refit36m-top5,rf-expanding-refit36m-top10,ridge-expanding-refit36m-top5,ridge-expanding-refit36m-top10,rf-rolling-refit12m-top5,rf-rolling-refit12m-top10,ridge-rolling-refit12m-top5,ridge-rolling-refit12m-top10,rf-rolling-refit36m-top5,rf-rolling-refit36m-top10,ridge-rolling-refit36m-top5,ridge-rolling-refit36m-top10
1973-07,0.01827,0.011705,0.04149,0.0236,0.01827,0.011705,0.04149,0.0236,0.01827,0.011705,0.04149,0.0236,0.01827,0.011705,0.04149,0.0236
1973-08,0.00312,-0.015115,-0.031,-0.00751,0.00312,-0.015115,-0.031,-0.00751,0.00312,-0.015115,-0.031,-0.00751,0.00312,-0.015115,-0.031,-0.00751
1973-09,0.02059,0.031435,0.00548,0.02321,0.02059,0.031435,0.00548,0.02321,0.02059,0.031435,0.00548,0.02321,0.02059,0.031435,0.00548,0.02321
1973-10,0.09918,0.06,0.07963,0.069225,0.09918,0.06,0.07963,0.069225,0.09918,0.06,0.07963,0.069225,0.09918,0.06,0.07963,0.069225
1973-11,0.07386,0.03504,0.05941,0.061165,0.07386,0.03504,0.05941,0.061165,0.07386,0.03504,0.05941,0.061165,0.07386,0.03504,0.05941,0.061165
1973-12,-0.01834,-0.007135,-0.0642,-0.04693,-0.01834,-0.007135,-0.0642,-0.04693,-0.01834,-0.007135,-0.0642,-0.04693,-0.01834,-0.007135,-0.0642,-0.04693
1974-01,0.01536,0.003615,0.0287,0.01948,0.01536,0.003615,0.0287,0.01948,0.01536,0.003615,0.0287,0.01948,0.01536,0.003615,0.0287,0.01948
1974-02,0.004,0.00603,-0.01922,-0.024355,0.004,0.00603,-0.01922,-0.024355,0.004,0.00603,-0.01922,-0.024355,0.004,0.00603,-0.01922,-0.024355
1974-03,0.03431,0.017985,0.00241,0.01194,0.03431,0.017985,0.00241,0.01194,0.03431,0.017985,0.00241,0.01194,0.03431,0.017985,0.00241,0.01194
1974-04,0.0142,0.01377,-0.01177,0.00363,0.0142,0.01377,-0.01177,0.00363,0.0142,0.01377,-0.01177,0.00363,0.0142,0.01377,-0.01177,0.00363
1974-05,0.03119,0.01822,0.01655,0.01877,0.03119,0.01822,0.01655,0.01877,0.03119,0.01822,0.01655,0.01877,0.03119,0.01822,0.01655,0.01877
1974-06,0.03919,0.02593,0.02351,0.026545,0.03919,0.02593,0.02351,0.026545,0.03919,0.02593,0.02351,0.026545,0.03919,0.02593,0.02351,0.026545
1974-07,0.02404,0.01129,0.00804,0.007975,0.00565,0.006605,0.01557,0.005605,0.0243,0.01088,0.00804,0.00482,0.00565,0.006605,0.01557,0.005605
1974-08,0.00479,-0.005165,0.02227,0.007945,0.0066,-0.006865,0.01484,0.00647,0.00479,0.00239,0.00711,0.00785,0.0066,-0.006865,0.01484,0.00647
1974-09,0.04318,0.001485,0.02533,-0.006095,0.04099,0.001565,-0.00025,-0.020635,0.03411,0.00076,0.01218,-0.00566,0.04099,0.001565,-0.00025,-0.020635
1974-10,0.02851,0.016025,0.02308,0.01617,0.03707,0.01496,0.02985,0.024855,0.03381,0.02151,0.02308,0.017115,0.03707,0.01496,0.02985,0.024855
1974-11,-0.01432,-0.01925,-0.00344,-0.001675,-0.00807,-0.003625,0.0113,0.00855,-0.01471,-0.021685,-0.00344,-0.001675,-0.00807,-0.003625,0.0113,0.00855
1974-12,-0.0273,0.011035,-0.10001,-0.064625,-0.03121,-0.01089,-0.08766,-0.068345,-0.01981,0.014545,-0.10001,-0.06526,-0.03121,-0.01089,-0.08766,-0.068345
1975-01,0.02878,0.01904,-0.02879,-0.022465,0.05172,0.025215,-0.01262,-0.023905,0.00221,0.020295,-0.03422,-0.016205,0.05172,0.025215,-0.01262,-0.023905
1975-02,0.01768,-0.017455,-0.03537,-0.018075,-0.00142,-0.01387,-0.03045,-0.007635,-0.01359,-0.019115,-0.01468,-0.02241,-0.00142,-0.01387,-0.03045,-0.007635
1975-03,0.05458,0.0312,0.00286,0.022225,0.04403,0.04189,0.03267,0.011635,0.05458,0.03307,0.00286,0.0194,0.04403,0.04189,0.03267,0.011635
1975-04,0.03026,0.006525,0.03874,0.01261,0.02542,0.007855,0.03737,0.00783,0.03877,0.004605,0.03874,0.01348,0.02542,0.007855,0.03737,0.00783
1975-05,-0.01107,0.00052,-0.00943,-0.00342,-0.01269,0.00058,-0.01157,-0.00286,-0.01328,0.000675,-0.00943,-0.00342,-0.01269,0.00058,-0.01157,-0.00286
1975-06,-0.00936,-0.001075,0.01363,-0.00371,-0.00933,-0.008135,-0.0117,-0.01425,-0.00936,-0.0077,0.01067,-0.00371,-0.00933,-0.008135,-0.0117,-0.01425
1975-07,-0.02865,-0.01038,-0.02086,-0.01699,-0.00198,-0.000125,-0.02351,-0.01454,-0.03183,-0.011715,-0.02685,-0.020905,-0.00198,-0.000125,-0.02351,-0.01454
1975-08,0.0206,0.011655,0.01159,0.009825,0.01946,0.01285,0.00739,0.011065,0.01925,0.01298,0.00787,0.01046,0.01946,0.01285,0.00739,0.011065
1975-09,-0.03259,-0.004005,-0.0132,-0.00605,-0.01033,0.004285,-0.00944,-0.008275,-0.03372,-0.005985,-0.0132,-0.00762,-0.01033,0.004285,-0.00944,-0.008275
1975-10,0.01397,0.00388,0.00707,0.0181,0.0162,0.017495,0.0077,0.01277,0.00734,0.004595,0.00707,0.013385,0.0162,0.017495,0.0077,0.01277
1975-11,-0.01731,-0.0177,-0.02087,-0.01246,-0.01056,-0.01322,-0.01596,-0.01045,-0.01727,-0.015955,-0.01717,-0.0195,-0.01056,-0.01322,-0.01596,-0.01045
1975-12,0.01699,0.000295,0.0058,0.01364,-0.01564,-0.00271,0.00303,-0.001535,0.01699,0.000295,0.00748,0.00808,-0.01564,-0.00271,0.00303,-0.001535
1976-01,0.00324,0.01593,0.0324,0.02933,0.01371,0.00831,0.01556,0.02868,0.00689,0.01527,0.03901,0.031245,0.01371,0.00831,0.01556,0.02868
1976-02,-0.01011,-0.01606,-0.02391,-0.01783,-0.02071,-0.013755,-0.02223,-0.019855,-0.02073,-0.0118,-0.02762,-0.01702,-0.02071,-0.013755,-0.02223,-0.019855
1976-03,-0.00355,-0.002305,0.02211,0.0036,-0.00258,0.00052,0.00935,0.00301,-0.00656,-0.00362,0.01409,0.01333,-0.00258,0.00052,0.00935,0.00301
1976-04,0.03382,0.017235,0.0128,0.008275,0.02311,0.02174,0.00807,0.004445,0.03573,0.021955,0.01317,0.01095,0.02311,0.02174,0.00807,0.004445
1976-05,0.0053,0.017155,0.01372,0.00414,0.03173,0.01034,0.02954,0.00617,0.0053,0.01346,0.01372,-0.00074,0.03173,0.01034,0.02954,0.00617
1976-06,-0.00209,0.00223,0.00096,0.00231,-0.00149,0.000375,-0.00568,-0.006285,0.00357,0.00191,0.00176,-0.00465,-0.00149,0.000375,-0.00568,-0.006285
1976-07,0.04313,0.028805,0.04445,0.03506,0.04313,0.028805,0.04445,0.03506,0.04252,0.032405,0.04138,0.03291,0.04252,0.032405,0.04138,0.03291
1976-08,0.00191,0.004975,-0.00349,0.00352,0.00191,0.004975,-0.00349,0.00352,0.00425,0.00328,-0.00565,0.004155,0.00425,0.00328,-0.00565,0.004155
1976-09,-0.01561,-0.013475,-0.01064,-0.004455,-0.01561,-0.013475,-0.01064,-0.004455,-0.01309,-0.013475,-0.00876,-0.003665,-0.01309,-0.013475,-0.00876,-0.003665
1976-10,0.01802,0.01503,0.01838,0.02382,0.01802,0.01503,0.01838,0.02382,0.01802,0.015045,0.02067,0.020865,0.01802,0.015045,0.02067,0.020865
1976-11,-0.02174,-0.003885,-0.01587,-0.003045,-0.02174,-0.003885,-0.01587,-0.003045,-0.01214,-0.00706,-0.02113,-0.00383,-0.01214,-0.00706,-0.02113,-0.00383
1976-12,0.0457,0.02991,0.0509,0.036625,0.0457,0.02991,0.0509,0.036625,0.04344,0.033655,0.04173,0.03721,0.04344,0.033655,0.04173,0.03721
1977-01,-0.01338,-0.01247,-0.01461,-0.00979,-0.01338,-0.01247,-0.01461,-0.00979,-0.01958,-0.004255,-0.0043,-0.00912,-0.01958,-0.004255,-0.0043,-0.00912
1977-02,0.00964,0.008305,0.01204,0.005115,0.00964,0.008305,0.01204,0.005115,0.01107,0.004175,0.00795,0.00409,0.01107,0.004175,0.00795,0.00409
1977-03,0.02313,0.01271,0.01349,0.017865,0.02313,0.01271,0.01349,0.017865,0.02238,0.013085,0.01563,0.015415,0.02238,0.013085,0.01563,0.015415
1977-04,0.00467,0.007025,0.00636,0.010825,0.00467,0.007025,0.00636,0.010825,-0.00358,0.008755,0.01481,0.00973,-0.00358,0.008755,0.01481,0.00973
1977-05,-0.00273,0.00146,-0.0081,0.007705,-0.00273,0.00146,-0.0081,0.007705,-0.01256,0.0003,-0.00135,0.007075,-0.01256,0.0003,-0.00135,0.007075
1977-06,0.01338,0.01072,0.01064,0.01151,0.01338,0.01072,0.01064,0.01151,0.00018,0.014805,0.01064,0.01135,0.00018,0.014805,0.01064,0.01135
1977-07,-0.00203,0.00273,-0.00728,-0.004745,0.00013,0.002615,-0.00728,-0.004745,-0.0008,-0.00353,-0.0121,-0.005065,-0.00674,-0.002485,-0.00739,-0.00496
1977-08,0.00451,0.008715,0.02683,0.01788,0.00393,0.013345,0.02127,0.01019,0.00598,0.00965,0.01378,0.00774,0.00451,0.01175,0.01688,0.00885
1977-09,-0.0055,0.00541,0.00441,0.003705,-0.00229,0.00516,0.00285,0.005895,-0.00288,0.00275,-0.00084,0.00237,0.00711,0.006395,0.00361,0.00238
1977-10,0.01351,0.00964,0.00531,0.003735,0.0113,0.010045,0.00902,0.00344,0.00963,0.00422,-0.00391,0.004015,0.00963,0.006685,-0.00168,-0.000295
1977-11,0.01845,0.01178,0.01294,0.009385,0.01845,0.01178,0.01379,0.010155,0.01784,0.009515,0.01324,0.00825,0.01784,0.00998,0.01637,0.010265
1977-12,-0.00943,-0.00097,0.00069,0.00354,-0.01385,-0.001495,-0.00397,0.00576,-0.01363,-0.00052,0.01367,0.00405,-0.01454,-0.001495,0.00982,0.00354
1978-01,0.01885,0.00698,0.01776,0.011945,0.01425,0.00497,0.01776,0.011945,0.01145,0.010785,0.01487,0.007955,0.01326,0.00363,0.01754,0.007955
1978-02,0.01358,0.022055,0.01248,0.02162,0.01284,0.02175,0.00448,0.02162,0.02482,0.02752,0.01881,0.01571,0.01358,0.02635,0.00756,0.021955
1978-03,-0.0089,0.00401,-0.02588,-0.003945,-0.00058,0.00401,-0.02843,-0.0012,-0.0146,-0.00876,-0.02588,-0.00886,-0.0146,-0.002795,-0.02166,-0.00861
1978-04,0.01419,0.020115,0.01047,0.01782,0.02417,0.020115,0.01047,0.016155,0.02507,0.02416,0.01548,0.013155,0.01896,0.017585,0.02227,0.00947
1978-05,0.0111,0.015045,0.01645,0.017335,0.0111,0.013625,0.01729,0.017815,0.01885,0.01545,0.01713,0.01487,0.01718,0.01259,0.01401,0.01484
1978-06,0.02319,0.01552,0.0208,0.019285,0.02319,0.015435,0.0208,0.019285,0.02072,0.007635,0.01759,0.01027,0.02072,0.013045,0.01884,0.01674
1978-07,0.01607,0.01711,0.00635,0.019885,0.01023,0.012045,0.00421,0.014025,0.00912,0.01248,0.00895,0.0092,0.0144,0.006305,0.00665,0.007925
1978-08,-0.02382,-0.01484,-0.02059,-0.009295,-0.01521,-0.01402,-0.02235,-0.01179,-0.02227,-0.00933,-0.02059,-0.00161,-0.01565,-0.003725,-0.00823,-0.003505
1978-09,-0.03687,-0.0171,-0.04597,-0.025685,-0.01989,-0.00722,-0.04844,-0.02247,-0.00125,-0.00175,-0.03292,-0.011995,0.01292,0.002155,-0.03352,-0.0074
1978-10,-0.01901,-0.020155,-0.01225,-0.005355,-0.01422,-0.024865,0.00586,-0.00628,-0.03266,-0.02096,-0.02509,-0.01886,-0.02244,-0.023115,-0.02977,-0.022665
1978-11,0.02801,0.024695,0.02207,0.013335,0.00896,0.017155,0.02207,0.01483,0.01572,0.015715,0.02176,0.013125,0.01574,0.017495,0.0139,0.014025
1978-12,-0.02751,-0.01838,-0.01649,-0.014005,-0.02604,-0.021045,-0.01732,-0.017575,-0.0287,-0.0198,-0.02492,-0.018585,-0.02604,-0.02022,-0.02034,-0.013595
1979-01,-0.00679,0.002535,-0.00316,3e-05,0.00694,0.006215,-0.01146,0.00097,0.00124,0.00682,-0.01315,-0.007725,0.01679,0.01807,-0.00351,-0.002175
1979-02,-0.01973,-0.01062,0.01239,0.004035,-0.02326,-0.012065,0.00714,0.007495,-0.02153,-0.017215,0.01375,0.006555,-0.03481,-0.01463,-0.00369,-0.00841
1979-03,-0.00839,-0.009135,0.00321,0.00102,-0.02374,-0.007425,0.00321,0.00111,-0.02368,-0.00799,0.00457,0.001895,-0.01549,-0.0068,0.00321,0.00035
1979-04,0.00329,0.00233,-0.00482,-0.001135,0.01023,-4.3368087e-19,3e-05,-0.001385,0.00977,0.003455,-0.00712,-0.002365,0.01361,0.00685,0.00267,-0.001315
1979-05,0.02742,0.023445,0.02377,0.01226,0.02306,0.021045,0.02377,0.014015,0.01602,0.01255,0.00497,-0.00174,0.01602,0.008735,0.01885,0.01639
1979-06,0.00052,-0.000205,0.0005,0.000915,-0.01324,-0.00387,-0.00603,0.00019,-0.01775,-0.00322,-0.00193,-0.00123,-0.01694,-0.001745,-0.01279,-6.5e-05
1979-07,-0.00326,0.00771,0.00298,0.004,-0.00326,0.00771,0.00298,0.004,-0.00333,0.004215,0.01498,-7.5e-05,-0.00333,0.004215,0.01498,-7.5e-05
1979-08,0.01678,0.016045,0.02466,0.02285,0.01678,0.016045,0.02466,0.02285,0.02506,0.015385,0.03049,0.01703,0.02506,0.015385,0.03049,0.01703
1979-09,-0.00272,0.002205,0.01215,0.00119,-0.00272,0.002205,0.01215,0.00119,0.01841,0.006405,0.00402,-0.000295,0.01841,0.006405,0.00402,-0.000295
1979-10,0.02278,0.02412,0.03697,0.036915,0.02278,0.02412,0.03697,0.036915,0.01237,0.012185,0.01584,0.02519,0.01237,0.012185,0.01584,0.02519
1979-11,0.01843,0.03441,0.05002,0.038295,0.01843,0.03441,0.05002,0.038295,0.0319,0.03167,0.04811,0.035205,0.0319,0.03167,0.04811,0.035205
1979-12,0.0405,0.037275,0.02647,0.042325,0.0405,0.037275,0.02647,0.042325,0.05516,0.036525,0.02667,0.023005,0.05516,0.036525,0.02667,0.023005
1980-01,-0.00276,0.014955,0.02157,0.01993,-0.00276,0.014955,0.02157,0.01993,-0.00293,0.00988,0.02603,0.022235,-0.00293,0.00988,0.02603,0.022235
1980-02,-0.05948,-0.060515,-0.06975,-0.056455,-0.05948,-0.060515,-0.06975,-0.056455,-0.07073,-0.05577,-0.06629,-0.055345,-0.07073,-0.05577,-0.06629,-0.055345
1980-03,0.01104,0.003945,0.01692,0.011705,0.01104,0.003945,0.01692,0.011705,0.00654,0.013095,0.01547,0.00235,0.00654,0.013095,0.01547,0.00235
