month,rf-expanding-refit12m-top5,rf-expanding-refit12m-top10,ridge-expanding-refit12m-top5,ridge-expanding-refit12m-top10,rf-expanding-refit36m-top5,rf-expanding-refit36m-top10,ridge-expanding-refit36m-top5,ridge-expanding-refit36m-top10,rf-rolling-refit12m-top5,rf-rolling-refit12m-top10,ridge-rolling-refit12m-top5,ridge-rolling-refit12m-top10,rf-rolling-refit36m-top5,rf-rolling-refit36m-top10,ridge-rolling-refit36m-top5,ridge-rolling-refit36m-top10
1973-07,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1973-08,0.811341,0.758593,0.519605,0.612089,0.811341,0.758593,0.519605,0.612089,0.811341,0.758593,0.519605,0.612089,0.811341,0.758593,0.519605,0.612089
1973-09,0.406677,0.362642,0.609137,0.459005,0.406677,0.362642,0.609137,0.459005,0.406677,0.362642,0.609137,0.459005,0.406677,0.362642,0.609137,0.459005
1973-10,0.607061,0.320251,0.609231,0.516785,0.607061,0.320251,0.609231,0.516785,0.607061,0.320251,0.609231,0.516785,0.607061,0.320251,0.609231,0.516785
1973-11,0.336151,0.529421,0.33842,0.337949,0.336151,0.529421,0.33842,0.337949,0.336151,0.529421,0.33842,0.337949,0.336151,0.529421,0.33842,0.337949
1973-12,0.523456,0.462049,0.314234,0.280851,0.523456,0.462049,0.314234,0.280851,0.523456,0.462049,0.314234,0.280851,0.523456,0.462049,0.314234,0.280851
1974-01,0.70629,0.560367,0.618101,0.613626,0.70629,0.560367,0.618101,0.613626,0.70629,0.560367,0.618101,0.613626,0.70629,0.560367,0.618101,0.613626
1974-02,0.507816,0.409355,0.510577,0.412189,0.507816,0.409355,0.510577,0.412189,0.507816,0.409355,0.510577,0.412189,0.507816,0.409355,0.510577,0.412189
1974-03,0.605207,0.654392,0.8,0.80174,0.605207,0.654392,0.8,0.80174,0.605207,0.654392,0.8,0.80174,0.605207,0.654392,0.8,0.80174
1974-04,0.320987,0.514853,0.8,0.753842,0.320987,0.514853,0.8,0.753842,0.320987,0.514853,0.8,0.753842,0.320987,0.514853,0.8,0.753842
1974-05,0.512722,0.464633,0.805688,0.658927,0.512722,0.464633,0.805688,0.658927,0.512722,0.464633,0.805688,0.658927,0.512722,0.464633,0.805688,0.658927
1974-06,0.515832,0.462218,0.708014,0.465226,0.515832,0.462218,0.708014,0.465226,0.515832,0.462218,0.708014,0.465226,0.515832,0.462218,0.708014,0.465226
1974-07,0.700773,0.755912,0.710284,0.607055,0.9,0.810774,0.710284,0.513497,0.700773,0.657213,0.710284,0.608284,0.9,0.810774,0.710284,0.513497
1974-08,0.410083,0.506119,0.51136,0.415328,0.611017,0.555934,0.608241,0.41078,0.409973,0.505447,0.604448,0.464093,0.611017,0.555934,0.608241,0.41078
1974-09,0.313615,0.46009,0.342339,0.525168,0.514609,0.510263,0.615862,0.518759,0.313615,0.413556,0.43234,0.525192,0.514609,0.510263,0.615862,0.518759
1974-10,0.601844,0.653657,0.425067,0.416765,0.901665,0.700868,0.51345,0.412383,0.701079,0.55487,0.420816,0.464453,0.901665,0.700868,0.51345,0.412383
1974-11,0.614944,0.415849,0.508462,0.412625,0.716015,0.564542,0.412394,0.313522,0.419714,0.3667,0.508462,0.412295,0.716015,0.564542,0.412394,0.313522
1974-12,0.8,0.602805,0.516149,0.515239,0.705569,0.456705,0.511642,0.460734,0.703562,0.506771,0.516149,0.515239,0.705569,0.456705,0.511642,0.460734
